tenant_key,spend_category,cost_center_or_owner,annual_spend_usd,run_change_transform_split,vendor_internal_split,value_driver,savings_opportunity_usd,confidence,calculation_basis,source_file,source_date,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
lakeshore-holdings,Corporate Shared Services IT FY26 annual IT budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,2,LH-SPEND-LH-CORP-BUDGET,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Corporate Shared Services IT FY26 run budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,3,LH-SPEND-LH-CORP-RUN,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Corporate Shared Services IT FY26 change budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,4,LH-SPEND-LH-CORP-CHANGE,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Corporate Shared Services IT FY26 spend to date,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,5,LH-SPEND-LH-CORP-YTD,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Northline IT FY26 annual IT budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,6,LH-SPEND-LH-NORTHLINE-BUDGET,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Northline IT FY26 run budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,7,LH-SPEND-LH-NORTHLINE-RUN,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Northline IT FY26 change budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,8,LH-SPEND-LH-NORTHLINE-CHANGE,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Northline IT FY26 spend to date,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,9,LH-SPEND-LH-NORTHLINE-YTD,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Brightmark IT FY26 annual IT budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,10,LH-SPEND-LH-CRESTPOINT-BUDGET,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
lakeshore-holdings,Brightmark IT FY26 run budget,,,,,,,high,synthetic_demo,datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,2026-06-18,none,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_08_spend_value.csv,enterprise-pack,11,LH-SPEND-LH-CRESTPOINT-RUN,synthetic-demo,2d3d5620688db364c87ea3670be263990860d16eb611021977a8906b78331065,retained_from_active_source,none
