tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,program_id,business_owner,technology_owner,executive_sponsor,phase,budget_usd,spend_to_date_usd,expected_value_usd,realized_value_usd,value_basis,status,target_date,dependencies,risks,decision_needed
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0001,Fleet Renewal Program,v4_synthetic_pack,CIO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0001,COO,VP Enterprise Applications,CIO,Scaling,1200000,450000,1800000,300000,rag=Red; sponsor=Board Technology Committee; ai=N,On track,2026-12-31,rag=Red; sponsor=Board Technology Committee; ai=N,rag=Red; sponsor=Board Technology Committee; ai=N,rag=Red; sponsor=Board Technology Committee; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0002,NextGen Reservations Replatform,v4_synthetic_pack,CMO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0002,CFO,Chief Data Officer,COO,Approved,1295000,502000,1910000,335000,rag=Green; sponsor=CEO; ai=N,Watch,2027-01-09,rag=Green; sponsor=CEO; ai=N,rag=Green; sponsor=CEO; ai=N,rag=Green; sponsor=CEO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0003,S/4HANA Finance Transformation,v4_synthetic_pack,VP Engineering,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0003,CIO,VP Infrastructure,CFO,Approved,1390000,554000,2020000,370000,rag=Amber; sponsor=Board Technology Committee; ai=N,At risk,2027-01-18,rag=Amber; sponsor=Board Technology Committee; ai=N,rag=Amber; sponsor=Board Technology Committee; ai=N,rag=Amber; sponsor=Board Technology Committee; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0004,Zero-Trust Security Program,v4_synthetic_pack,CHRO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0004,Chief Commercial Officer,Head of AI Enablement,Executive Committee,Scaling,1485000,606000,2130000,405000,rag=Amber; sponsor=COO; ai=N,On track,2027-01-27,rag=Amber; sponsor=COO; ai=N,rag=Amber; sponsor=COO; ai=N,rag=Amber; sponsor=COO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0005,Cloud Migration Wave 2,v4_synthetic_pack,CIO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0005,COO,VP Enterprise Applications,CIO,Approved,1580000,658000,2240000,440000,rag=Green; sponsor=CRO; ai=N,Watch,2027-02-05,rag=Green; sponsor=CRO; ai=N,rag=Green; sponsor=CRO; ai=N,rag=Green; sponsor=CRO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0006,IRROPS Recovery AI,v4_synthetic_pack,COO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0006,CFO,Chief Data Officer,COO,In Delivery,1675000,710000,2350000,475000,rag=Green; sponsor=CFO; ai=Y,At risk,2027-02-14,rag=Green; sponsor=CFO; ai=Y,rag=Green; sponsor=CFO; ai=Y,rag=Green; sponsor=CFO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0007,Crew Scheduling Optimization AI,v4_synthetic_pack,Chief Digital Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0007,CIO,VP Infrastructure,CFO,In Delivery,1770000,762000,2460000,510000,rag=Green; sponsor=CMO; ai=Y,On track,2027-02-23,rag=Green; sponsor=CMO; ai=Y,rag=Green; sponsor=CMO; ai=Y,rag=Green; sponsor=CMO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0008,Cargo Revenue Management AI,v4_synthetic_pack,CRO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0008,Chief Commercial Officer,Head of AI Enablement,Executive Committee,In Delivery,1865000,814000,2570000,545000,rag=Amber; sponsor=CIO; ai=Y,Watch,2027-03-04,rag=Amber; sponsor=CIO; ai=Y,rag=Amber; sponsor=CIO; ai=Y,rag=Amber; sponsor=CIO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0009,Customer Digital Experience,v4_synthetic_pack,COO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0009,COO,VP Enterprise Applications,CIO,Approved,1960000,866000,2680000,580000,rag=Green; sponsor=CFO; ai=N,At risk,2027-03-13,rag=Green; sponsor=CFO; ai=N,rag=Green; sponsor=CFO; ai=N,rag=Green; sponsor=CFO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0010,Predictive Maintenance AI,v4_synthetic_pack,COO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0010,CFO,Chief Data Officer,COO,In Delivery,2055000,918000,2790000,615000,rag=Green; sponsor=Board Technology Committee; ai=Y,On track,2027-03-22,rag=Green; sponsor=Board Technology Committee; ai=Y,rag=Green; sponsor=Board Technology Committee; ai=Y,rag=Green; sponsor=Board Technology Committee; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0011,Loyalty Personalization Initiative 01,v4_synthetic_pack,VP Operations,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0011,CIO,VP Infrastructure,CFO,Closing,2150000,970000,2900000,650000,rag=Amber; sponsor=CFO; ai=Y,Watch,2027-03-31,rag=Amber; sponsor=CFO; ai=Y,rag=Amber; sponsor=CFO; ai=Y,rag=Amber; sponsor=CFO; ai=Y
