signal_id,market,competitor,claim,source_url,confidence,source_system,source_record_id,source_owner,last_validated_date,evidence_usable,notes_gaps
MKT-001,Private investment group and shared services,Lineage Logistics,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0001,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-002,"Foodservice supply chain, freight, cold chain, distribution",DHL Supply Chain,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0002,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-003,"Marketing technology, sourcing, promotions, loyalty operations",Bunzl,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0003,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-004,"Premium consumer products, DTC commerce, retail channels",Accenture Song,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0004,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-005,"Workplace foodservice, micro-markets, vending, onsite dining",YETI,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0005,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-006,Private investment group and shared services,Compass Group,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0006,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-007,"Foodservice supply chain, freight, cold chain, distribution",Lineage Logistics,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0007,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-008,"Marketing technology, sourcing, promotions, loyalty operations",DHL Supply Chain,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0008,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-009,"Premium consumer products, DTC commerce, retail channels",Bunzl,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0009,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-010,"Workplace foodservice, micro-markets, vending, onsite dining",Accenture Song,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0010,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
