tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,program_id,business_owner,technology_owner,executive_sponsor,phase,budget_usd,spend_to_date_usd,expected_value_usd,realized_value_usd,value_basis,status,target_date,dependencies,risks,decision_needed
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-001,Real-time scam & APP fraud detection,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,2,2026-06-18,2026-01-01,2027-10-21,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-001,Chief Risk Officer,Chief Risk Officer,Chief Risk Officer,ideate,27768800,450000,47000000,300000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",On track,2027-10-21,Core Banking readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Scale with controls
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-002,AML alert triage & false-positive reduction,v4_synthetic_pack,BSA/AML Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,3,2026-06-18,2026-01-01,2027-12-03,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-002,BSA/AML Officer,BSA/AML Officer,BSA/AML Officer,ideate,4642560,502000,12000000,335000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",Watch,2027-12-03,Payments Hub readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Hold pending data readiness
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-003,SAR narrative drafting copilot,v4_synthetic_pack,BSA/AML Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,4,2026-06-18,2026-01-01,2027-05-02,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-003,BSA/AML Officer,BSA/AML Officer,BSA/AML Officer,ideate,13772614,554000,38000000,370000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",At risk,2027-05-02,Wealth CRM readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Fund next phase
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-004,Contact center next-best-action assist,v4_synthetic_pack,Head of Customer Experience,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,5,2026-06-18,2026-01-01,2027-04-09,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-004,Head of Customer Experience,Head of Customer Experience,Head of Customer Experience,ideate,18376557,606000,41000000,405000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",On track,2027-04-09,Risk Analytics readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Retire duplicate effort
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-005,Commercial credit spreading automation,v4_synthetic_pack,Head of Commercial Banking,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,6,2026-06-18,2026-01-01,2027-09-05,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-005,Head of Commercial Banking,Head of Commercial Banking,Head of Commercial Banking,ideate,8967447,658000,27000000,440000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",Watch,2027-09-05,Loan Origination readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Scale with controls
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-006,Customer 360 lakehouse foundation,v4_synthetic_pack,Chief Data & Analytics Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,7,2026-06-18,2026-01-01,2027-09-20,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-006,Chief Data & Analytics Officer,Chief Data & Analytics Officer,Chief Data & Analytics Officer,ideate,12569375,710000,30000000,475000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",At risk,2027-09-20,Treasury readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Hold pending data readiness
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-007,Certified semantic layer for KPIs,v4_synthetic_pack,Chief Data & Analytics Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,8,2026-06-18,2026-01-01,2027-02-23,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-007,Chief Data & Analytics Officer,Chief Data & Analytics Officer,Chief Data & Analytics Officer,design,8574774,762000,17000000,510000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",On track,2027-02-23,Core Banking readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Fund next phase
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-008,Engineering code-assist productivity,v4_synthetic_pack,Chief Information Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,9,2026-06-18,2026-01-01,2027-06-01,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-008,Chief Information Officer,Chief Information Officer,Chief Information Officer,design,17706000,814000,37000000,545000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",Watch,2027-06-01,Payments Hub readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Retire duplicate effort
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-009,Regulatory close & reconciliation automation,v4_synthetic_pack,Chief Financial Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,10,2026-06-18,2026-01-01,2027-07-22,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-009,Chief Financial Officer,Chief Financial Officer,Chief Financial Officer,design,4803082,866000,11000000,580000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",At risk,2027-07-22,Wealth CRM readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Scale with controls
first-capital,Financial Services Demo,v6.0,program_initiative,FC-AI-010,Cards dispute & chargeback automation,v4_synthetic_pack,Head of Cards & Payments,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,11,2026-06-18,2026-01-01,2027-03-19,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-AI-010,Head of Cards & Payments,Head of Cards & Payments,Head of Cards & Payments,design,10815184,918000,26000000,615000,"Measured against baseline cycle time, adoption, run cost, and quality outcomes",On track,2027-03-19,Risk Analytics readiness; data owner signoff; change adoption,"Value claim requires adoption, control evidence, and accountable operating owner",Hold pending data readiness
