relationship_type,count,source_dimensions,sample_edge,unresolved_missing_relationships,module_usage
supports,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Workflow Platform supports Executive Office,14,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
owned_by,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office owned_by Chief Strategy Officer,14,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
used_by,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office used_by Executive Office Analyst / Steward,13,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
hosted_on,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Workflow Platform hosted_on Executive Office Primary Midwest Data Center Hosting Segment,14,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
hosted_in,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Workflow Platform hosted_in Primary Midwest Data Center,13,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
feeds,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Workflow Platform feeds Executive Office Analytics Mart,12,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
consumes,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Analytics Mart consumes Executive Office Operational Dataset,13,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
produces,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Operational Dataset produces Executive Office Workflow Platform,14,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
integrates_with,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Analytics Mart integrates_with Executive Office Reporting Workspace,13,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
measured_by,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office measured_by Executive Office cycle time,14,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
governed_by,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office governed_by Enterprise Strategy governance council,20,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
has_risk,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office has_risk Executive Office data lineage and definition risk,14,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
funded_by,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Enterprise profile and corporate priorities modernization and readiness program funded_by Chief Strategy Officer,13,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
provided_by,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Oracle provided_by Executive Office Workflow Platform,13,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
target_platform_for,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Databricks on AWS Lakehouse target_platform_for Executive Office Operational Dataset,12,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
part_of,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Executive Office Operational Dataset part_of Enterprise profile and corporate priorities modernization and readiness program,12,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
replaces_or_modernizes,20,12_relationships; relationship-graph/edges.csv; source adapter mapping,Databricks on AWS Lakehouse replaced_by Executive Office Operational Dataset,20,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
evidence_for,0,12_relationships; relationship-graph/edges.csv; source adapter mapping,,missing or represented by alternate wording,Knowledge graph browsing; Moves context extract; Intelligence context; Source/Tower dependency context
