tenant_key,edge_key,from_node_key,to_node_key,relationship_type,evidence_id,confidence,active_candidate_status,graph_boundary
first-capital-financial,FCF-EDGE-00001,FCF-NODE-00001,FCF-NODE-00038,depends_on,FCF-EVID-00001,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00002,FCF-NODE-00002,FCF-NODE-00039,feeds,FCF-EVID-00002,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00003,FCF-NODE-00003,FCF-NODE-00040,owned_by,FCF-EVID-00003,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00004,FCF-NODE-00004,FCF-NODE-00041,funded_by,FCF-EVID-00004,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00005,FCF-NODE-00005,FCF-NODE-00042,blocked_by,FCF-EVID-00005,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00006,FCF-NODE-00006,FCF-NODE-00043,governed_by,FCF-EVID-00006,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00007,FCF-NODE-00007,FCF-NODE-00044,supports,FCF-EVID-00007,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00008,FCF-NODE-00008,FCF-NODE-00045,depends_on,FCF-EVID-00008,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00009,FCF-NODE-00009,FCF-NODE-00046,feeds,FCF-EVID-00009,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00010,FCF-NODE-00010,FCF-NODE-00047,owned_by,FCF-EVID-00010,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00011,FCF-NODE-00011,FCF-NODE-00048,funded_by,FCF-EVID-00011,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00012,FCF-NODE-00012,FCF-NODE-00049,blocked_by,FCF-EVID-00012,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00013,FCF-NODE-00013,FCF-NODE-00050,governed_by,FCF-EVID-00013,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00014,FCF-NODE-00014,FCF-NODE-00051,supports,FCF-EVID-00014,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00015,FCF-NODE-00015,FCF-NODE-00052,depends_on,FCF-EVID-00015,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00016,FCF-NODE-00016,FCF-NODE-00053,feeds,FCF-EVID-00016,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00017,FCF-NODE-00017,FCF-NODE-00054,owned_by,FCF-EVID-00017,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00018,FCF-NODE-00018,FCF-NODE-00055,funded_by,FCF-EVID-00018,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00019,FCF-NODE-00019,FCF-NODE-00056,blocked_by,FCF-EVID-00019,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00020,FCF-NODE-00020,FCF-NODE-00057,governed_by,FCF-EVID-00020,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00021,FCF-NODE-00021,FCF-NODE-00058,supports,FCF-EVID-00021,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00022,FCF-NODE-00022,FCF-NODE-00059,depends_on,FCF-EVID-00022,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00023,FCF-NODE-00023,FCF-NODE-00060,feeds,FCF-EVID-00023,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00024,FCF-NODE-00024,FCF-NODE-00061,owned_by,FCF-EVID-00024,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00025,FCF-NODE-00025,FCF-NODE-00062,funded_by,FCF-EVID-00601,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00026,FCF-NODE-00026,FCF-NODE-00063,blocked_by,FCF-EVID-00602,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00027,FCF-NODE-00027,FCF-NODE-00064,governed_by,FCF-EVID-00603,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00028,FCF-NODE-00028,FCF-NODE-00065,supports,FCF-EVID-00604,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00029,FCF-NODE-00029,FCF-NODE-00066,depends_on,FCF-EVID-00605,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00030,FCF-NODE-00030,FCF-NODE-00067,feeds,FCF-EVID-00606,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00031,FCF-NODE-00031,FCF-NODE-00068,owned_by,FCF-EVID-00607,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00032,FCF-NODE-00032,FCF-NODE-00069,funded_by,FCF-EVID-00608,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00033,FCF-NODE-00033,FCF-NODE-00070,blocked_by,FCF-EVID-00609,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00034,FCF-NODE-00034,FCF-NODE-00071,governed_by,FCF-EVID-00610,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00035,FCF-NODE-00035,FCF-NODE-00072,supports,FCF-EVID-00611,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00036,FCF-NODE-00036,FCF-NODE-00073,depends_on,FCF-EVID-00612,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00037,FCF-NODE-00037,FCF-NODE-00074,feeds,FCF-EVID-00613,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00038,FCF-NODE-00038,FCF-NODE-00075,owned_by,FCF-EVID-00614,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00039,FCF-NODE-00039,FCF-NODE-00076,funded_by,FCF-EVID-00615,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00040,FCF-NODE-00040,FCF-NODE-00077,blocked_by,FCF-EVID-00616,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00041,FCF-NODE-00041,FCF-NODE-00078,governed_by,FCF-EVID-00617,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00042,FCF-NODE-00042,FCF-NODE-00079,supports,FCF-EVID-00618,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00043,FCF-NODE-00043,FCF-NODE-00080,depends_on,FCF-EVID-00619,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00044,FCF-NODE-00044,FCF-NODE-00081,feeds,FCF-EVID-00620,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00045,FCF-NODE-00045,FCF-NODE-00082,owned_by,FCF-EVID-00621,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00046,FCF-NODE-00046,FCF-NODE-00083,funded_by,FCF-EVID-00622,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00047,FCF-NODE-00047,FCF-NODE-00084,blocked_by,FCF-EVID-00623,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00048,FCF-NODE-00048,FCF-NODE-00085,governed_by,FCF-EVID-00624,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00049,FCF-NODE-00049,FCF-NODE-00086,supports,FCF-EVID-00625,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00050,FCF-NODE-00050,FCF-NODE-00087,depends_on,FCF-EVID-00626,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00051,FCF-NODE-00051,FCF-NODE-00088,feeds,FCF-EVID-00627,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00052,FCF-NODE-00052,FCF-NODE-00089,owned_by,FCF-EVID-00628,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00053,FCF-NODE-00053,FCF-NODE-00090,funded_by,FCF-EVID-00629,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00054,FCF-NODE-00054,FCF-NODE-00091,blocked_by,FCF-EVID-00630,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00055,FCF-NODE-00055,FCF-NODE-00092,governed_by,FCF-EVID-00631,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00056,FCF-NODE-00056,FCF-NODE-00093,supports,FCF-EVID-00632,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00057,FCF-NODE-00057,FCF-NODE-00094,depends_on,FCF-EVID-00633,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
first-capital-financial,FCF-EDGE-00058,FCF-NODE-00058,FCF-NODE-00095,feeds,FCF-EVID-00634,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
