function_id,function_name,domain,leadership_owner_person_id,leadership_owner_name,headcount_total_fte,headcount_onshore_fte,headcount_offshore_fte,headcount_contractor_fte,fy2026_budget_usd,fy2026_capex_share_usd,fy2026_opex_share_usd,systems_owned_count,key_systems_summary,industry_benchmark_summary,notes
function:meridian:data-analytics,Data & Analytics,IT — Data,person:meridian:jordan-mckenzie,Jordan McKenzie,185,152,18,15,38500000,5500000,33000000,14,"Snowflake EDW, Epic Cogito, Epic Cosmos, Atlas custom platform, dbt, Tableau, Power BI, Databricks (under eval), Arcadia population health, Fivetran, Collibra, MLOps tooling under AI Governance",Healthcare IDN benchmark: $30-40M for a $16-20B integrated provider+plan org with active VBC analytics. Onshore-heavy mix is typical (clinical data sensitivity).,Founder directive 2026-05-10: data analytics function was thin (5 named) — sized to industry standard for a $16.8B IDN with both provider and plan analytics needs.
function:meridian:infrastructure-cloud,Infrastructure & Cloud,IT — Infrastructure,person:meridian:wei-zhang,Wei Zhang,420,285,95,40,78400000,14000000,64400000,22,"AWS primary cloud, Azure secondary, on-prem VMware, network (Cisco), storage stack, NVIDIA on-prem GPU for research, data center colocation",Healthcare IDN typically runs 0.6-0.8% of EE in core infra/cloud (348-464 for 58k EE). Cloud spend compounding 12-15% YoY.,"Includes core data center, cloud platform, network, storage. SD-WAN rollout in flight."
function:meridian:application-services,Application Services,IT — Applications,person:meridian:vacant-vp-applications,VACANT — VP Application Services,680,412,218,50,92500000,18500000,74000000,54,"Epic Hyperspace + Ambulatory + Cogito, Cerner residual at Kona Coast, Workday, SAP, ServiceNow, claims platforms, plan core admin (HealthEdge), provider data (symplr), specialty clinical apps, Paige AI eval",VP Application Services VACANT (existing fixture) — interim coverage by directors; key gap.,Largest IT function by headcount; mix of application development + sustainment + vendor mgmt.
function:meridian:information-security,Information Security,IT — Cyber,person:meridian:daniel-reyes,Daniel Reyes (CISO),185,142,28,15,38800000,6500000,32300000,18,"Okta IAM, CyberArk PAM, CrowdStrike EDR, Palo Alto FW + Prisma, Splunk SIEM, Proofpoint email, Zscaler ZIA, Mandiant retainer","Healthcare IDN typically 5-8% of IT FTE in cybersecurity (120-192 for 2,400 IT FTE). Spend benchmark $30-50M.","Includes IAM, SOC, threat intel, security architecture, third-party risk, BAA enforcement."
function:meridian:enterprise-architecture,Enterprise Architecture,IT — Architecture,person:meridian:linda-howard,Linda Howard,45,38,5,2,8200000,1200000,7000000,0,"Architecture review board; clinical, plan, and corporate architecture practices",Small but high-leverage function; healthcare IDN typically 35-60 EA practitioners.,"Owns target-state architecture decisions for AI integration, Cerner residual retirement, plan-provider data integration."
function:meridian:digital-patient-experience,Digital & Patient Experience,IT — Digital,person:meridian:jessica-toth,Jessica Toth,145,122,18,5,22500000,4800000,17700000,8,"MyChart customization, telehealth platform, mobile patient app, scheduling self-service, care navigation product",Healthcare IDN benchmark: $20-28M for digital patient experience at this scale. Onshore-heavy.,"Includes patient portal, telehealth platform engineering, mobile/web product engineering."
function:meridian:epmo-program-mgmt,Enterprise PMO & AI Program Office,IT — Governance,person:meridian:brian-sullivan,Brian Sullivan,38,32,4,2,5200000,0,5200000,2,"Smartsheet, ServiceNow Strategic Portfolio, AI program tracking",Healthcare IDN PMO typically 25-50 FTE at this scale.,"Coordinates 4 active strategic programs (RCM modernization, ambient documentation, prior auth, AI governance)."
function:meridian:clinical-informatics,Clinical Informatics,IT — Clinical,person:meridian:jennifer-wexler,Dr. Jennifer Wexler (CMIO),85,76,4,5,16800000,2200000,14600000,6,"Epic clinical decision support, ambient documentation tooling (under eval), AI Governance Council operations",CMIO org typically 60-100 FTE at $16-20B IDN scale.,Bridges IT and clinical; chairs AI Governance Council with 23 use cases under review.
function:meridian:identity-access,Identity & Access Management,IT — Cyber,person:meridian:anuradha-kapoor,Anuradha Kapoor,32,28,3,1,4800000,1200000,3600000,4,"Okta, CyberArk, Active Directory, clinician identity workflow",IAM team typically 25-40 FTE at this org size.,Reports to CISO Reyes. AI tool access governance is growing scope.
function:meridian:ai-platform-mlops,AI Platform & MLOps,IT — AI,person:meridian:saint-john-williams,Dr. Saint-John Williams,22,19,2,1,6800000,1800000,5000000,5,"Databricks (under eval), DataRobot, model registry, AI Governance Council Operations, on-prem NVIDIA stack",Emerging function; healthcare IDN typically 15-30 FTE. Ramp tied to AI Governance Council 23 use cases.,Brand new function; reports to CMIO Wexler under AI Governance Council operating model.
