tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,spend_id,amount_usd,amount_type,owner,program_id,vendor_id,system_id,committed_vs_discretionary,renewal_or_gate_date,value_linkage,unit_economics
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-2,Clinical operations record,v4_synthetic_pack,Chief Digital & Information Officer,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-2,25420000,budget,Chief Digital & Information Officer,PGM-0001,VDR-00001,SYS-0001,committed,2026-10-15,Clinical operations outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-3,Revenue cycle record,v4_synthetic_pack,VP Clinical Platforms,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-3,116560000,budget,VP Clinical Platforms,PGM-0002,VDR-00002,SYS-0002,discretionary,2026-10-26,Revenue cycle outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-4,Care management record,v4_synthetic_pack,VP Health Plan Technology,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-4,88040000,budget,VP Health Plan Technology,PGM-0003,VDR-00003,SYS-0003,committed,2026-11-06,Care management outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-5,Claims intelligence record,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-5,78120000,budget,Chief Data Officer,PGM-0004,VDR-00004,SYS-0004,discretionary,2026-11-17,Claims intelligence outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-6,Patient access record,v4_synthetic_pack,VP Integration,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-6,48360000,budget,VP Integration,PGM-0005,VDR-00005,SYS-0005,committed,2026-11-28,Patient access outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-7,Clinical data governance record,v4_synthetic_pack,VP Patient Experience Tech,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-7,42780000,budget,VP Patient Experience Tech,PGM-0006,VDR-00006,SYS-0006,discretionary,2026-12-09,Clinical data governance outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-8,Clinical operations record,v4_synthetic_pack,VP Corporate Systems,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-8,38440000,budget,VP Corporate Systems,PGM-0007,VDR-00007,SYS-0007,committed,2026-12-20,Clinical operations outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-9,Revenue cycle record,v4_synthetic_pack,CISO,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-9,95480000,budget,CISO,PGM-0008,VDR-00008,SYS-0008,discretionary,2026-12-31,Revenue cycle outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-10,Care management record,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-10,102920000,budget,VP Infrastructure,PGM-0009,VDR-00009,SYS-0009,committed,2027-01-11,Care management outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-11,Claims intelligence record,v4_synthetic_pack,VP IT Operations,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-11,32240000,budget,VP IT Operations,PGM-0010,VDR-00010,SYS-0010,discretionary,2027-01-22,Claims intelligence outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-12,Patient access record,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-12,23560000,budget,Chief Data Officer,PGM-0011,VDR-00011,SYS-0011,committed,2027-02-02,Patient access outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,meridian-health-spend_value-13,Clinical data governance record,v4_synthetic_pack,VP Engineering,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,meridian-health-spend_value-13,21080000,budget,VP Engineering,PGM-0012,VDR-00012,SYS-0012,discretionary,2027-02-13,Clinical data governance outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-001,Clinical operations record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-001,16740000,benefit,CIO,MER-AI-001,VDR-00013,SYS-0013,committed,2027-02-24,cost_takeout,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-002,Revenue cycle record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-002,11340000,benefit,CFO,MER-AI-002,VDR-00014,SYS-0014,discretionary,2027-03-07,cycle_time,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-003,Care management record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-003,21960000,benefit,Technology Finance,MER-AI-003,VDR-00015,SYS-0015,committed,2027-03-18,risk_reduction,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-004,Claims intelligence record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-004,30600000,benefit,Domain Product Owner,MER-AI-004,VDR-00016,SYS-0016,discretionary,2027-03-29,cost_takeout,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-005,Patient access record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-005,9360000,benefit,CIO,MER-AI-005,VDR-00017,SYS-0017,committed,2027-04-09,cycle_time,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-006,Clinical data governance record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-006,20520000,benefit,CFO,MER-AI-006,VDR-00018,SYS-0018,discretionary,2027-04-20,risk_reduction,Track cost per transaction/user/process cycle before scaling claims
meridian-health,Healthcare Demo,v6.0,spend_value,MER-AI-007,Clinical operations record,v4_synthetic_pack,Technology Finance,synthetic_demo,ai-control-tower/T07_benefit-realization.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-007,19800000,benefit,Technology Finance,MER-AI-007,VDR-00019,SYS-0019,committed,2027-05-01,cost_takeout,Track cost per transaction/user/process cycle before scaling claims
