ai_asset_id,asset_name,business_area,owner_role,tool_or_model,risk_tier,approval_status,monthly_users,evidence_id
APX-AI-001,Retail lakehouse and customer inventory graph,Data and AI,Chief Data Officer,Databricks ML,high,review_required,120,APX-EVID-001
APX-AI-002,AI demand forecasting and replenishment,Merchandising,Chief Merchandising Officer,Azure OpenAI,medium,approved_pilot,205,APX-EVID-002
APX-AI-003,Store labor scheduling optimization,Store Operations,COO,AWS Bedrock,medium,approved_pilot,290,APX-EVID-003
APX-AI-004,Shrink anomaly detection,Loss Prevention,Chief Risk Officer,ServiceNow Now Assist,medium,approved_pilot,375,APX-EVID-004
APX-AI-005,Search and personalization AI,Digital Commerce,Chief Digital Officer,Copilot,high,approved_pilot,460,APX-EVID-005
APX-AI-006,Retail media measurement clean room,Marketing,Chief Marketing Officer,Claude Code,medium,review_required,545,APX-EVID-006
APX-AI-007,BOPIS exception prediction,Omnichannel Fulfillment,Chief Supply Chain Officer,Databricks ML,medium,approved_pilot,630,APX-EVID-007
APX-AI-008,Returns fraud triage,Risk,Chief Risk Officer,Azure OpenAI,medium,approved_pilot,715,APX-EVID-008
APX-AI-009,Finance margin bridge automation,Finance,CFO,AWS Bedrock,high,approved_pilot,800,APX-EVID-009
APX-AI-010,ServiceNow store support agent,IT Operations,VP IT Operations,ServiceNow Now Assist,medium,approved_pilot,885,APX-EVID-010
APX-AI-011,Assortment localization copilot,Merchandising,Chief Merchandising Officer,Copilot,medium,review_required,970,APX-EVID-011
APX-AI-012,Store associate task assistant,Store Operations,COO,Claude Code,medium,approved_pilot,1055,APX-EVID-012
APX-AI-013,Supply chain ETA and carrier exception AI,Supply Chain,Chief Supply Chain Officer,Databricks ML,high,approved_pilot,1140,APX-EVID-013
APX-AI-014,AI code productivity program,Technology,CIO,Azure OpenAI,medium,approved_pilot,1225,APX-EVID-014
