tenant_key,entity_id,entity_name,entity_short_name,entity_scope,parent_entity_id,parent_entity_name,system_id,system_name,system_aliases,system_scope,ownership_model,served_entity_ids,served_entity_names,service_consumer_type,system_category,vendor_product,hosting_model,business_function_refs,critical_process_refs,business_owner_role,technical_owner_role,criticality,lifecycle_status,modernization_disposition,annual_run_cost_usd,vendor_contract_refs,data_domains,ai_data_readiness,decision_relevance,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps,system_business_context
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-EPIC-HYPERSPACE,Epic Hyperspace,,current_state,Clinical Platforms,MER-HS,Meridian Health System,enterprise,clinical_ehr,MER-VEN-EPIC,current_mixed,Clinical Platforms,encounters; orders; results; clinical workflows,Clinical Platforms,Clinical Platforms,critical,current_core,current_core,,MER-VEN-EPIC,encounters; orders; results; clinical workflows,high,Epic Bridges; Clarity; Caboodle,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Epic Hyperspace supports encounters; orders; results; clinical workflows; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-EPIC-CLARITY,Epic Clarity,,current_state,Epic Analytics,MER-HS,Meridian Health System,enterprise,clinical_reporting_repository,MER-VEN-EPIC,current_mixed,Epic Analytics,clinical reporting; encounter data; quality extracts,Epic Analytics,Epic Analytics,critical,current_core,current_core,,MER-VEN-EPIC,clinical reporting; encounter data; quality extracts,high,SQL Server extracts; Caboodle; Tableau,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Epic Clarity supports clinical reporting; encounter data; quality extracts; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-EPIC-CABOODLE,Epic Caboodle,,current_state,Epic Analytics,MER-HS,Meridian Health System,enterprise,clinical_warehouse,MER-VEN-EPIC,current_mixed,Epic Analytics,curated Epic clinical model; quality reporting,Epic Analytics,Epic Analytics,high,current_core,current_core,,MER-VEN-EPIC,curated Epic clinical model; quality reporting,high,Clarity ETL; Cogito; BI tools,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Epic Caboodle supports curated Epic clinical model; quality reporting; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-SQL-MARTS,On-prem SQL Server reporting marts,,current_state,Enterprise Data Warehouse,MER-HS,Meridian Health System,enterprise,legacy_reporting_marts,MER-VEN-MICROSOFT,current_mixed,Enterprise Data Warehouse,departmental marts; duplicated business rules; extract chains,Enterprise Data Warehouse,Enterprise Data Warehouse,critical,fragmented_current_state,fragmented_current_state,,MER-VEN-MICROSOFT,departmental marts; duplicated business rules; extract chains,high,SSIS; SQL Agent; Tableau extracts; Power BI gateway; SAS feeds,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","On-prem SQL Server reporting marts supports departmental marts; duplicated business rules; extract chains; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-TABLEAU,Tableau reporting estate,,current_state,BI and Analytics,MER-HS,Meridian Health System,enterprise,business_intelligence,MER-VEN-TABLEAU,current_mixed,BI and Analytics,dashboards; extracts; local metric definitions,BI and Analytics,BI and Analytics,high,current_reporting,current_reporting,,MER-VEN-TABLEAU,dashboards; extracts; local metric definitions,medium,SQL Server marts; Caboodle extracts,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Tableau reporting estate supports dashboards; extracts; local metric definitions; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-SAS,SAS analytics estate,,current_state,Analytics,MER-HS,Meridian Health System,enterprise,advanced_analytics_legacy,MER-VEN-SAS,current_mixed,Analytics,analytics programs; payment integrity models; statistical extracts,Analytics,Analytics,medium,current_reporting,current_reporting,,MER-VEN-SAS,analytics programs; payment integrity models; statistical extracts,medium,SQL Server marts; flat files,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","SAS analytics estate supports analytics programs; payment integrity models; statistical extracts; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-POWERBI,Power BI reporting estate,,current_state,BI and Analytics,MER-HS,Meridian Health System,enterprise,business_intelligence,MER-VEN-MICROSOFT,current_mixed,BI and Analytics,dashboards; finance reporting; semantic models,BI and Analytics,BI and Analytics,high,current_reporting,current_reporting,,MER-VEN-MICROSOFT,dashboards; finance reporting; semantic models,medium,SQL Server gateway; Excel; semantic models,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Power BI reporting estate supports dashboards; finance reporting; semantic models; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-CLAIMS,Claims administration platform,,current_state,Health Plan Operations,MER-HS,Meridian Health System,enterprise,claims,MER-VEN-CLAIMS,current_mixed,Health Plan Operations,medical claims; adjudication; claim edits,Health Plan Operations,Health Plan Operations,critical,current_core,current_core,,MER-VEN-CLAIMS,medical claims; adjudication; claim edits,high,EDI; claims extracts; payment integrity feeds,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Claims administration platform supports medical claims; adjudication; claim edits; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-PHARMACY,Pharmacy claims platform,,current_state,Pharmacy Operations,MER-HS,Meridian Health System,enterprise,pharmacy_claims,MER-VEN-PBM,current_mixed,Pharmacy Operations,pharmacy claims; formulary; medication adherence,Pharmacy Operations,Pharmacy Operations,high,current_core,current_core,,MER-VEN-PBM,pharmacy claims; formulary; medication adherence,high,NCPDP feeds; claims warehouse extracts,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","Pharmacy claims platform supports pharmacy claims; formulary; medication adherence; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-SYS-CRM,CRM / member case management,,current_state,Member Services,MER-HS,Meridian Health System,enterprise,crm,MER-VEN-CRM,current_mixed,Member Services,member/provider cases; service history,Member Services,Member Services,high,current_core,current_core,,MER-VEN-CRM,member/provider cases; service history,high,contact center; claims status; member profile,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.","CRM / member case management supports member/provider cases; service history; gaps: Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
