gov_id,initiative_id,model_count,model_risk_tier,hitl,bias_monitoring,drift_monitoring,reg_regime,responsible_ai_gate_status,source_file,source_row,value_source
MERIDIANHEALTH-AIGOV-0001,MERIDIANHEALTH-INIT-0001,4,high,required,needed,needed,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,2,tenant_file
MERIDIANHEALTH-AIGOV-0002,MERIDIANHEALTH-INIT-0002,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,3,tenant_file
MERIDIANHEALTH-AIGOV-0003,MERIDIANHEALTH-INIT-0003,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,4,tenant_file
MERIDIANHEALTH-AIGOV-0004,MERIDIANHEALTH-INIT-0004,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,5,tenant_file
MERIDIANHEALTH-AIGOV-0005,MERIDIANHEALTH-INIT-0005,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,6,tenant_file
MERIDIANHEALTH-AIGOV-0006,MERIDIANHEALTH-INIT-0006,3,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,7,tenant_file
MERIDIANHEALTH-AIGOV-0007,MERIDIANHEALTH-INIT-0007,5,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,8,tenant_file
MERIDIANHEALTH-AIGOV-0008,MERIDIANHEALTH-INIT-0008,4,medium,defined,active,active,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,9,tenant_file
MERIDIANHEALTH-AIGOV-0009,MERIDIANHEALTH-INIT-0009,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,10,tenant_file
MERIDIANHEALTH-AIGOV-0010,MERIDIANHEALTH-INIT-0010,3,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,11,tenant_file
MERIDIANHEALTH-AIGOV-0011,MERIDIANHEALTH-INIT-0011,4,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,12,tenant_file
MERIDIANHEALTH-AIGOV-0012,MERIDIANHEALTH-INIT-0012,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,13,tenant_file
MERIDIANHEALTH-AIGOV-0013,MERIDIANHEALTH-INIT-0013,4,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,14,tenant_file
MERIDIANHEALTH-AIGOV-0014,MERIDIANHEALTH-INIT-0014,4,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,15,tenant_file
MERIDIANHEALTH-AIGOV-0015,MERIDIANHEALTH-INIT-0015,5,medium,defined,active,active,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,16,tenant_file
MERIDIANHEALTH-AIGOV-0016,MERIDIANHEALTH-INIT-0016,5,high,required,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,17,tenant_file
MERIDIANHEALTH-AIGOV-0017,MERIDIANHEALTH-INIT-0017,4,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,18,tenant_file
MERIDIANHEALTH-AIGOV-0018,MERIDIANHEALTH-INIT-0018,4,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,19,tenant_file
MERIDIANHEALTH-AIGOV-0019,MERIDIANHEALTH-INIT-0019,4,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,20,tenant_file
MERIDIANHEALTH-AIGOV-0020,MERIDIANHEALTH-INIT-0020,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,21,tenant_file
MERIDIANHEALTH-AIGOV-0021,MERIDIANHEALTH-INIT-0021,4,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,22,tenant_file
MERIDIANHEALTH-AIGOV-0022,MERIDIANHEALTH-INIT-0022,3,medium,required,active,active,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,23,tenant_file
MERIDIANHEALTH-AIGOV-0023,MERIDIANHEALTH-INIT-0023,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,24,tenant_file
