asset_id,asset_name,asset_class,make_model,location,capacity,virtualization,cloud_account,owner,opco,architecture_notes,private_cloud_role,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INF-DC-CHI,Chicago Primary Datacenter,datacenter,Owned datacenter,"Chicago, IL",2.5 MW / 220 racks / Tier III target,VMware vSphere 8,,Holdco Infrastructure,Holdco,Primary private cloud and shared services; Dell/VMware based.,private_or_hybrid_core,Infrastructure CMDB,INF-DC-CHI,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-DC-COL,Columbus Colocation,datacenter,Flexential colo,"Columbus, OH",1.2 MW / 92 racks,VMware vSphere 8,,Northline Infrastructure,Northline,WMS/TMS and supply-chain edge aggregation.,private_or_hybrid_core,Infrastructure CMDB,INF-DC-COL,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-DC-IND,Indianapolis Colocation,datacenter,Equinix/colo,"Indianapolis, IN",0.4 MW / 38 racks,VMware vSphere 7,,Forge & Field Infrastructure,Forge & Field,Commerce back-office and integration landing zone.,private_or_hybrid_core,Infrastructure CMDB,INF-DC-IND,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-DC-MKE,Milwaukee Local Server Room,datacenter,On-prem branch closet,"Milwaukee, WI",0.2 MW / 14 racks,VMware vSphere 7,,Great Lakes Pantry IT,Great Lakes Pantry,Retained local services; consolidation candidate.,private_or_hybrid_core,Infrastructure CMDB,INF-DC-MKE,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-CMP-DELL-01,Holdco Private Cloud Compute,compute,Dell PowerEdge R760,"Chicago, IL","24 hosts / 1,920 vCPU / 16 TB RAM",VMware vSphere 8,,VP Infrastructure and Cloud,Holdco,Private cloud core.,private_or_hybrid_core,Infrastructure CMDB,INF-CMP-DELL-01,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-HCI-NUTANIX-01,Northline Warehouse Edge HCI,compute,Nutanix NX / AHV,12 DC warehouse sites,12 clusters / 144 nodes,Nutanix AHV,,Northline Infrastructure,Northline,"Warehouse edge compute for WMS, label, conveyor, and handheld services.",private_or_hybrid_core,Infrastructure CMDB,INF-HCI-NUTANIX-01,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-STG-NETAPP-01,Holdco Enterprise Storage,storage,NetApp AFF A400,"Chicago, IL",400 TB usable / SnapMirror DR,,,Holdco Infrastructure,Holdco,"Finance, treasury, shared file, and VM storage.",private_or_hybrid_core,Infrastructure CMDB,INF-STG-NETAPP-01,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-STG-PURE-01,Northline Flash Storage,storage,Pure FlashArray X70,"Columbus, OH",250 TB usable,,,Northline Infrastructure,Northline,WMS/transportation performance tier.,private_or_hybrid_core,Infrastructure CMDB,INF-STG-PURE-01,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-NET-CISCO-01,Core Network Fabric,network,Cisco Nexus 9000 + ACI,Chicago / Columbus,40/100Gb spine-leaf,,,Network Engineering,Holdco,Private cloud network backbone.,private_or_hybrid_core,Infrastructure CMDB,INF-NET-CISCO-01,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-SEC-PALO-01,Segmentation and Firewall,security,Palo Alto PA-5400 / Prisma Access,Chicago / AWS / Azure,32 segmented zones,,,CISO,Holdco,"PCI, treasury, identity, WMS, and corporate segmentation.",private_or_hybrid_core,Infrastructure CMDB,INF-SEC-PALO-01,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-AZ-HOLDCO,Holdco Azure Subscription,cloud_account,Microsoft Azure,East US 2,600 cores / 110 TB storage / ExpressRoute,,azure-lsh-holdco-prod,VP Infrastructure and Cloud,Holdco,"Data, identity, finance analytics, landing zone, DR.",public_cloud,Infrastructure CMDB,INF-AZ-HOLDCO,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-AZ-NLS,Northline Azure Subscription,cloud_account,Microsoft Azure,Central US,220 cores / 35 TB storage,,azure-northline-prod,Northline Cloud,Northline,Supply-chain analytics and API services.,public_cloud,Infrastructure CMDB,INF-AZ-NLS,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-AWS-FFF,Forge & Field AWS Commerce Account,cloud_account,AWS,us-east-1 / us-west-2,300 EC2-equivalent cores / 42 TB S3,,aws-forge-field-prod,Forge & Field Digital,Forge & Field,"DTC commerce, content, personalization workloads.",public_cloud,Infrastructure CMDB,INF-AWS-FFF,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-GCP-BMS-LAB,Brightmark GCP Analytics Sandbox,cloud_account,Google Cloud,us-central1,Low-use sandbox / BigQuery lab only,,gcp-brightmark-lab,Brightmark Data,Brightmark,Sandbox only; no regulated production workloads.,public_cloud,Infrastructure CMDB,INF-GCP-BMS-LAB,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-IAM-ENTRA,Enterprise Identity,identity,Microsoft Entra ID + Okta legacy bridge,SaaS,11k users / 3.4k contractors,,azure-lsh-holdco-prod,IAM Engineering,Holdco,"Entra primary, Okta retained for Forge & Field customer-support apps.",private_or_hybrid_core,Infrastructure CMDB,INF-IAM-ENTRA,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
INF-OBS-DATADOG,Observability Platform,observability,Datadog + ServiceNow Event Mgmt,SaaS,1.8 TB/month logs / 420 monitored services,,,IT Operations,Holdco,Telemetry and incident correlation.,private_or_hybrid_core,Infrastructure CMDB,INF-OBS-DATADOG,VP Infrastructure and Cloud,2026-06-08,0.88,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Infrastructure estate row with private/hybrid cloud architecture.
