evidence_item_id,initiative_id,source_file,source_row,value_source,source_locator,source_timestamp,review_state,confidence,evidence_id,source_id,source_path,source_type,locator,claim_supported,freshness_status,trust_status
FC-AI-001-EV-1,FC-AI-001,ai-control-tower/T10_evidence-items.csv,2,tenant_file,section 5.4,2026-06-17,review_required,0.56,,,,,,,,
FC-AI-002-EV-1,FC-AI-002,ai-control-tower/T10_evidence-items.csv,3,tenant_file,section 4.2,2026-06-06,approved,0.84,,,,,,,,
FC-AI-003-EV-1,FC-AI-003,ai-control-tower/T10_evidence-items.csv,4,tenant_file,section 4.1,2026-06-03,approved,0.86,,,,,,,,
FC-AI-004-EV-1,FC-AI-004,ai-control-tower/T10_evidence-items.csv,5,tenant_file,section 1.3,2026-06-02,review_required,0.70,,,,,,,,
FC-AI-005-EV-1,FC-AI-005,ai-control-tower/T10_evidence-items.csv,6,tenant_file,section 5.3,2026-06-10,approved,0.85,,,,,,,,
FC-AI-006-EV-1,FC-AI-006,ai-control-tower/T10_evidence-items.csv,7,tenant_file,section 1.4,2026-06-11,approved,0.78,,,,,,,,
FC-AI-007-EV-1,FC-AI-007,ai-control-tower/T10_evidence-items.csv,8,tenant_file,section 2.3,2026-06-05,review_required,0.59,,,,,,,,
FC-AI-008-EV-1,FC-AI-008,ai-control-tower/T10_evidence-items.csv,9,tenant_file,section 3.2,2026-06-11,review_required,0.83,,,,,,,,
FC-AI-009-EV-1,FC-AI-009,ai-control-tower/T10_evidence-items.csv,10,tenant_file,section 2.4,2026-06-04,approved,0.66,,,,,,,,
FC-AI-010-EV-1,FC-AI-010,ai-control-tower/T10_evidence-items.csv,11,tenant_file,section 2.4,2026-06-12,review_required,0.91,,,,,,,,
FC-AI-011-EV-1,FC-AI-011,ai-control-tower/T10_evidence-items.csv,12,tenant_file,section 5.3,2026-06-05,review_required,0.78,,,,,,,,
FC-AI-012-EV-1,FC-AI-012,ai-control-tower/T10_evidence-items.csv,13,tenant_file,section 5.4,2026-06-11,review_required,0.78,,,,,,,,
FC-AI-013-EV-1,FC-AI-013,ai-control-tower/T10_evidence-items.csv,14,tenant_file,section 1.1,2026-06-06,review_required,0.57,,,,,,,,
FC-AI-014-EV-1,FC-AI-014,ai-control-tower/T10_evidence-items.csv,15,tenant_file,section 2.1,2026-06-05,approved,0.88,,,,,,,,
FC-AI-015-EV-1,FC-AI-015,ai-control-tower/T10_evidence-items.csv,16,tenant_file,section 2.3,2026-06-06,review_required,0.59,,,,,,,,
FC-AI-016-EV-1,FC-AI-016,ai-control-tower/T10_evidence-items.csv,17,tenant_file,section 5.4,2026-06-16,review_required,0.80,,,,,,,,
FC-AI-017-EV-1,FC-AI-017,ai-control-tower/T10_evidence-items.csv,18,tenant_file,section 3.3,2026-06-16,review_required,0.71,,,,,,,,
FC-AI-018-EV-1,FC-AI-018,ai-control-tower/T10_evidence-items.csv,19,tenant_file,section 4.2,2026-06-08,review_required,0.79,,,,,,,,
FC-AI-019-EV-1,FC-AI-019,ai-control-tower/T10_evidence-items.csv,20,tenant_file,section 3.1,2026-06-11,review_required,0.58,,,,,,,,
FC-AI-020-EV-1,FC-AI-020,ai-control-tower/T10_evidence-items.csv,21,tenant_file,section 5.4,2026-06-08,review_required,0.71,,,,,,,,
FC-AI-021-EV-1,FC-AI-021,ai-control-tower/T10_evidence-items.csv,22,tenant_file,section 3.2,2026-06-10,approved,0.64,,,,,,,,
FC-AI-022-EV-1,FC-AI-022,ai-control-tower/T10_evidence-items.csv,23,tenant_file,section 4.2,2026-06-15,review_required,0.63,,,,,,,,
FC-AI-023-EV-1,FC-AI-023,ai-control-tower/T10_evidence-items.csv,24,tenant_file,section 5.4,2026-06-17,review_required,0.94,,,,,,,,
FC-AI-024-EV-1,FC-AI-024,ai-control-tower/T10_evidence-items.csv,25,tenant_file,section 1.4,2026-06-14,review_required,0.71,,,,,,,,
FC-AI-025-EV-1,FC-AI-025,ai-control-tower/T10_evidence-items.csv,26,tenant_file,section 3.1,2026-06-09,review_required,0.79,,,,,,,,
FC-AI-026-EV-1,FC-AI-026,ai-control-tower/T10_evidence-items.csv,27,tenant_file,section 4.3,2026-06-02,review_required,0.61,,,,,,,,
FC-AI-027-EV-1,FC-AI-027,ai-control-tower/T10_evidence-items.csv,28,tenant_file,section 5.2,2026-06-12,review_required,0.86,,,,,,,,
FC-AI-028-EV-1,FC-AI-028,ai-control-tower/T10_evidence-items.csv,29,tenant_file,section 4.4,2026-06-04,review_required,0.69,,,,,,,,
FC-AI-029-EV-1,FC-AI-029,ai-control-tower/T10_evidence-items.csv,30,tenant_file,section 3.2,2026-06-04,review_required,0.58,,,,,,,,
FC-AI-030-EV-1,FC-AI-030,ai-control-tower/T10_evidence-items.csv,31,tenant_file,section 4.2,2026-06-13,approved,0.81,,,,,,,,
FC-AI-031-EV-1,FC-AI-031,ai-control-tower/T10_evidence-items.csv,32,tenant_file,section 5.4,2026-06-15,approved,0.59,,,,,,,,
FC-AI-032-EV-1,FC-AI-032,ai-control-tower/T10_evidence-items.csv,33,tenant_file,section 5.3,2026-06-10,approved,0.94,,,,,,,,
FC-AI-033-EV-1,FC-AI-033,ai-control-tower/T10_evidence-items.csv,34,tenant_file,section 1.1,2026-06-06,approved,0.92,,,,,,,,
FC-AI-034-EV-1,FC-AI-034,ai-control-tower/T10_evidence-items.csv,35,tenant_file,section 1.3,2026-06-15,approved,0.90,,,,,,,,
FC-AI-035-EV-1,FC-AI-035,ai-control-tower/T10_evidence-items.csv,36,tenant_file,section 1.2,2026-06-04,approved,0.78,,,,,,,,
FC-AI-036-EV-1,FC-AI-036,ai-control-tower/T10_evidence-items.csv,37,tenant_file,section 5.1,2026-06-15,approved,0.94,,,,,,,,
FC-AI-037-EV-1,FC-AI-037,ai-control-tower/T10_evidence-items.csv,38,tenant_file,section 2.2,2026-06-06,review_required,0.61,,,,,,,,
FC-AI-038-EV-1,FC-AI-038,ai-control-tower/T10_evidence-items.csv,39,tenant_file,section 5.1,2026-06-11,approved,0.58,,,,,,,,
FC-AI-039-EV-1,FC-AI-039,ai-control-tower/T10_evidence-items.csv,40,tenant_file,section 2.2,2026-06-14,approved,0.92,,,,,,,,
FC-AI-040-EV-1,FC-AI-040,ai-control-tower/T10_evidence-items.csv,41,tenant_file,section 5.3,2026-06-05,review_required,0.68,,,,,,,,
FC-AI-041-EV-1,FC-AI-041,ai-control-tower/T10_evidence-items.csv,42,tenant_file,section 2.2,2026-06-03,review_required,0.79,,,,,,,,
FC-AI-042-EV-1,FC-AI-042,ai-control-tower/T10_evidence-items.csv,43,tenant_file,section 1.1,2026-06-15,approved,0.84,,,,,,,,
