persona_id,persona_name,baseline_cycle_time_minutes,current_cycle_time_minutes,quality_metric,quality_before_pct,quality_after_pct,confidence,source_file,source_row,value_source
LAK-PER-001,Treasury analyst,45,36,audit_accuracy,82,84,medium,ai-control-tower/T05_persona-productivity.csv,2,tenant_file
LAK-PER-002,Cash manager,53,41,first_pass_resolution,83,85,high,ai-control-tower/T05_persona-productivity.csv,3,tenant_file
LAK-PER-003,FX risk manager,61,46,first_pass_resolution,84,86,high,ai-control-tower/T05_persona-productivity.csv,4,tenant_file
LAK-PER-004,Controller analyst,69,51,audit_accuracy,85,87,high,ai-control-tower/T05_persona-productivity.csv,5,tenant_file
LAK-PER-005,FP&A analyst,77,56,first_pass_resolution,86,88,medium,ai-control-tower/T05_persona-productivity.csv,6,tenant_file
LAK-PER-006,Plant finance manager,85,61,first_pass_resolution,87,89,high,ai-control-tower/T05_persona-productivity.csv,7,tenant_file
LAK-PER-007,Procurement category manager,93,66,audit_accuracy,88,90,high,ai-control-tower/T05_persona-productivity.csv,8,tenant_file
LAK-PER-008,SAP functional analyst,101,71,first_pass_resolution,89,91,high,ai-control-tower/T05_persona-productivity.csv,9,tenant_file
LAK-PER-009,Data engineer,109,76,first_pass_resolution,82,92,medium,ai-control-tower/T05_persona-productivity.csv,10,tenant_file
LAK-PER-010,Service desk analyst,117,81,audit_accuracy,83,93,high,ai-control-tower/T05_persona-productivity.csv,11,tenant_file
