vendor_id,vendor_name,primary_system_id,contract_type,annual_value_usd,renewal_date,auto_renew,notice_days,contract_owner,data_class,ai_clauses,exit_terms,benchmark_present
FCF-VEND-001,FIS,FCF-APP-FIS-HORIZON,core_ams,38000000,2027-02-15,true,180,CIO,restricted,AI use requires MRM approval; model-generated code prohibited,Core transition assistance capped 12 months,true
FCF-VEND-002,DXC Technology,FCF-APP-HOGAN-LOANS,mainframe_ams,26000000,2026-11-30,false,120,CIO,confidential,AI tooling in isolated dev only; no client-data LLM use,App-by-app removal; 120-day notice required,false
FCF-VEND-003,Accenture,,si_advisory,18000000,2026-09-30,false,90,CIO,confidential,Client IP indemnity required for any AI output,SOW termination for convenience,false
FCF-VEND-004,Deloitte,,risk_consulting,14000000,2026-08-31,false,60,Chief Risk Officer,restricted,No customer data in public LLMs; SR 11-7 attestation required,Quarterly SOW breakpoints,false
FCF-VEND-005,Salesforce,FCF-APP-SALESFORCE-FSC,saas_crm,12200000,2027-01-31,true,120,Chief Digital Officer,pii_confidential,Einstein features require written approval + evidence,Annual volume true-down only,true
FCF-VEND-006,NICE Systems,FCF-APP-NICE-ACTIMIZE,financial_crimes,11200000,2026-12-31,false,90,Chief Risk Officer,restricted,ML feature use subject to SR 11-7 evidence,Module carve-out allowed after 90 days,true
FCF-VEND-007,SAP,FCF-APP-SAP-ECC,erp_license,9800000,2027-05-31,true,180,CFO,confidential,Joule AI features disabled pending data policy review,S/4HANA transition credit negotiable,false
FCF-VEND-008,ACI Worldwide,FCF-APP-FEDWIRE-ACH,payments_license,8600000,2026-10-31,false,90,SVP Payments Technology,restricted,AI-generated payment rules prohibited without OCC sign-off,FedNow module removal after stabilization,false
FCF-VEND-009,Snowflake,FCF-APP-SNOWFLAKE,data_platform,7600000,2026-07-31,false,60,Chief Data Officer,confidential,Cortex AI restricted to masked or aggregate data only,Committed-use drawdown resets annually,true
FCF-VEND-010,Databricks,FCF-APP-DATABRICKS,ai_platform,6400000,2027-03-31,true,90,Chief Data Officer,restricted,Mosaic AI use requires MRM approval before production use,Workspace termination with data export SLA,true
FCF-VEND-011,Microsoft,FCF-APP-MOBILE-BANKING,saas_productivity,5200000,2027-06-30,true,90,CIO,pii_confidential,Copilot features gated on privacy impact assessment per tenant,Annual EA renewal; opt-out available,true
FCF-VEND-012,Murex,FCF-APP-MUREX-TREASURY,treasury_platform,8100000,2027-08-31,true,180,Treasurer,confidential,No AI augmentation without FRTB evidence review,24-month decommission notice required,false
