tenant_key,data_product_id,data_product_name,platform,source_system_id,source_system_name,owner_role,trust_score,lineage_basis,confidence,caveat
apex-retail,APX-DATA-001,POS transaction lake,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-002,Customer 360 / loyalty graph,,,,VP Customer Platforms,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-003,Inventory availability product,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-004,Clickstream and search telemetry,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-005,Shrink and exception analytics,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-006,Supply chain visibility mart,,,,VP Supply Chain Tech,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-007,Merchandise planning cube,,,,VP Merch Tech,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-008,Labor productivity mart,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-009,Vendor funding and margin mart,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APX-DATA-010,Retail media performance mart,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APEXRETAIL-DATA-0011,POS transaction lake / expansion 1,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APEXRETAIL-DATA-0012,Customer 360 / loyalty graph / expansion 2,,,,VP Customer Platforms,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APEXRETAIL-DATA-0013,Inventory availability product / expansion 3,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APEXRETAIL-DATA-0014,Clickstream and search telemetry / expansion 4,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
apex-retail,APEXRETAIL-DATA-0015,Shrink and exception analytics / expansion 5,,,,,,F09 data estate with application/team lookup where keys or domains match,0.62,Use for semantic dossier routing; detailed column-level lineage still requires ingestion metadata.
