tenantKey,relationshipId,sourceRowNumber,rawRelationshipType,normalizedRelationshipType,fromObjectType,fromObjectName,fromNodeId,toObjectType,toObjectName,toNodeId,evidenceBasis,confidence,knownGaps,disposition
apex-retail,APX-12-A086D1975C,28,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising,apex-retail:application_system:oracle-retail-merchandising,APX-APP-001,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-03A9F1A23A,82,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 2,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-2,APX-APP-013,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-C4469AEDD1,136,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 3,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-3,APX-APP-025,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-5719496D7F,190,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 4,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-4,APX-APP-037,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-6EE836E7E2,244,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 5,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-5,APX-APP-049,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-F48633BE38,298,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 6,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-6,APX-APP-061,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-2F437BD71B,352,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 7,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-7,APX-APP-073,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-39E56AE6B1,406,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 8,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-8,APX-APP-085,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-2E0CEDABF8,460,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 9,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-9,APX-APP-097,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-9F56168293,514,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 10,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-10,APX-APP-109,medium,none,candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:2,2,supports,SUPPORTS,application_system,Epic Hyperspace — Production,healthcare-demo-new:application_system:epic-hyperspace-production,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,per business_function in (change record #78717) 04_applications_systems,medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:6,6,supports,SUPPORTS,application_system,Epic Hyperspace — Test,healthcare-demo-new:application_system:epic-hyperspace-test,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,"business_function field, 04_applications_systems",medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:10,10,supports,SUPPORTS,application_system,Epic Hyperspace — Training,healthcare-demo-new:application_system:epic-hyperspace-training,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,04_applications_systems lists this (ticket #49326) via business_function,medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:14,14,supports,SUPPORTS,application_system,Epic Chronicles — Production,healthcare-demo-new:application_system:epic-chronicles-production,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,sourced from 04_applications_systems's (case #60920) business_function,medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:18,18,supports,SUPPORTS,application_system,Epic Chronicles — Test,healthcare-demo-new:application_system:epic-chronicles-test,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,sourced from 04_applications_systems's (case #24398) business_function,medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:22,22,supports,SUPPORTS,application_system,Epic Chronicles — Training,healthcare-demo-new:application_system:epic-chronicles-training,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,per business_function in (case #44036) 04_applications_systems,medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
healthcare-demo-new,healthcare-demo-new:relationship:26,26,supports,SUPPORTS,application_system,Epic Clarity — Production,healthcare-demo-new:application_system:epic-clarity-production,business_function,Clinical Informatics,healthcare-demo-new:business_function:clinical-informatics,sourced from 04_applications_systems's (work order #46259) business_function,medium,"Relationship edges are derived programmatically from the cross-references established across the other canonical files in this delivery (system-to-function, system-to-owner, system-to-vendor, program/risk/metric linkage); not yet certified by a client workshop.",candidate-only-no-graph-materialization
