tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,cloud_provider,month,eligible_stable_workload_spend_usd,commitment_covered_spend_usd,on_demand_eligible_spend_usd,commitment_coverage_pct,commitment_utilization_pct,recommended_step_up_usd,expected_discount_pct,candidate_monthly_savings_usd,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-01,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-01,1028700,534924,493776,0.52,0.86,52000,0.28,14560,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-01,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-01,660450,303807,356643,0.46,0.82,39000,0.24,9360,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-02,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-02,1059480,566821.8,492658.2,0.535,0.885,59000,0.28,16520,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-02,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-02,675240,324115.2,351124.8,0.48000000000000004,0.85,45000,0.24,10800,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-03,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-03,1068120,587466,480654,0.55,0.91,66000,0.28,18480,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-03,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-03,684420,342210,342210,0.5,0.8799999999999999,51000,0.24,12240,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-04,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-04,1087560,614471.4,473088.6,0.5650000000000001,0.86,73000,0.28,20440,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-04,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-04,701250,364650,336600,0.52,0.82,57000,0.24,13680,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-05,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-05,1099440,571708.8,527731.2,0.52,0.885,52000,0.28,14560,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-05,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-05,709410,326328.6,383081.4,0.46,0.85,39000,0.24,9360,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
