kpi_id,kpi_name,definition,formula,source_system_id,data_owner_person_id,business_owner_person_id,refresh_cadence,current_value,current_period,trend,target_fy2026,confidence,leading_or_lagging,tier,caveats,instrumentation_status,scope
kpi:golden:001,ALOS adjusted for observation conversion #001,ALOS adjusted for observation conversion measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:clinical_reporting-001,person:golden:daniel-oyelaran,person:golden:aisha-boateng,Weekly,40.0%,FY2026 Q3-to-date,Improving,50.0%,0.55,leading,department,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,plan
kpi:golden:002,30-day readmission rate #002,30-day readmission rate measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:revenue_cycle-002,person:golden:mei-fujimoto,person:golden:ravi-chandrasekaran,Monthly,41.1%,FY2026 Q3-to-date,Flat,51.1%,0.65,lagging,program,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,provider
kpi:golden:003,Net promoter score - member #003,Net promoter score - member measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:claims_admin-003,person:golden:tobias-lindqvist,person:golden:helena-kowalczyk,Quarterly,42.2%,FY2026 Q3-to-date,Declining,52.2%,0.75,leading,enterprise,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,plan
kpi:golden:004,First-call resolution rate #004,First-call resolution rate measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:member_services-004,person:golden:aisha-boateng,person:golden:samuel-brightwater,Weekly,43.3%,FY2026 Q3-to-date,Improving,53.3%,0.85,lagging,department,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,provider
kpi:golden:005,Claims auto-adjudication rate #005,Claims auto-adjudication rate measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:population_health-005,person:golden:ravi-chandrasekaran,person:golden:renata-alves,Monthly,44.4%,FY2026 Q3-to-date,Flat,54.4%,0.55,leading,program,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,plan
kpi:golden:006,Denial rate (gross) #006,Denial rate (gross) measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:data_platform-006,person:golden:helena-kowalczyk,person:golden:oliver-mackenzie,Quarterly,45.5%,FY2026 Q3-to-date,Declining,55.5%,0.65,lagging,enterprise,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,provider
kpi:golden:007,Denial rate (net) #007,Denial rate (net) measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:security-007,person:golden:samuel-brightwater,person:golden:felicia-nakashima,Weekly,46.6%,FY2026 Q3-to-date,Improving,56.6%,0.75,leading,department,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,plan
kpi:golden:008,Prior authorization turnaround time #008,Prior authorization turnaround time measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:infrastructure-008,person:golden:renata-alves,person:golden:benedict-osei,Monthly,47.7%,FY2026 Q3-to-date,Flat,57.7%,0.85,lagging,program,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,provider
kpi:golden:009,Member digital engagement rate #009,Member digital engagement rate measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:hr_workforce-009,person:golden:oliver-mackenzie,person:golden:carmen-delrio,Quarterly,48.8%,FY2026 Q3-to-date,Declining,58.8%,0.55,leading,enterprise,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,plan
kpi:golden:010,Care gap closure rate #010,Care gap closure rate measured for AbarVa Golden Health System with healthcare-specific caveats (synthetic fixture).,Numerator / denominator per owner-approved definition; see caveats.,system:golden:finance_erp-010,person:golden:felicia-nakashima,person:golden:isadora-veltri,Weekly,49.9%,FY2026 Q3-to-date,Improving,59.9%,0.65,lagging,department,Synthetic Golden Move fixture KPI; not a real client measurement.,measured,provider
