# SYNTHETIC — LAKESHORE PILOT — NOT REAL DATA — ABARVA AI | context_domain=finance_performance | owner=Sofia Marchetti | system=OneStream | as_of=2026-06-06 | sensitivity=Internal
close_day,activity,owner
WD+1,Reporting,Liam O'Sullivan
WD+2,Consolidation,Priya Natarajan
WD+3,Reporting,Aisha Bello
WD+4,Reporting,Liam O'Sullivan
WD+5,Review,David Chen
WD+6,GL close,Aisha Bello
WD+7,Review,Maria Donnelly
WD+8,Reporting,Sofia Marchetti
WD+9,Sub-ledger close,Liam O'Sullivan
WD+10,Consolidation,Elena Vasquez
