id,object_type,source_layer,tenant_id,client_key,source_basis,confidence_level,retrievability,agent_readiness_status,compatible
governed:fact:00_enterprise_profile:MER-V3-0001,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0001,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0002,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0003,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0004,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,medium,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0005,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0006,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-V3-0007,context_fact,tenant_context,meridian-health,meridian-health,user_provided_current_state_plus_synthetic_demo_structuring,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0001,context_fact,tenant_context,meridian-health,meridian-health,synthetic_executive_interview_evidence,medium,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0002,context_fact,tenant_context,meridian-health,meridian-health,synthetic_executive_interview_evidence,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0003,context_fact,tenant_context,meridian-health,meridian-health,synthetic_executive_interview_evidence,high,committed_not_indexed,committed_not_indexed,yes
governed:fact:01_business_functions:MER-SA07-01_BUSINESS_FUNCTIONS-0004,context_fact,tenant_context,meridian-health,meridian-health,synthetic_executive_interview_evidence,high,committed_not_indexed,committed_not_indexed,yes
