initiative_id,title,status,accountable,vendors,committed_usd,projected_value_usd,sentinel_posture,stage,evidence_note
MR-CLOSED-01,Arcadia legacy pop-health sunset,closed,CDIO,Epic|Innovaccer,600000,0,Failed,Closed,Explicit closed failure used for calibration.
MR-CLOSED-02,Lawson migration overrun,closed,CFO,Workday|Infor,775000,1110000,Failed,Closed,Explicit closed failure used for calibration.
MR-CLOSED-03,IBM Watson clinical-decision-support pilot killed,closed,CMIO,IBM,950000,1320000,Failed,Closed,Explicit closed failure used for calibration.
MR-CLOSED-04,Telehealth waiting-room optimization,closed,COO,Amwell,1125000,1530000,Landed,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-05,Claims attachment automation,closed,CDIO,Change Healthcare,1300000,1740000,Closed Healthy,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-06,Bedside device refresh,closed,CFO,Cisco,1475000,0,Closed With Lessons,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-07,Clinical data archive migration,closed,CMIO,Pure Storage,1650000,2160000,Landed,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-08,Arcadia legacy pop-health sunset,closed,COO,Epic|Innovaccer,1825000,2370000,Closed Healthy,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-09,Lawson migration overrun,closed,CDIO,Workday|Infor,2000000,2580000,Closed With Lessons,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-10,IBM Watson clinical-decision-support pilot killed,closed,CFO,IBM,2175000,2790000,Landed,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-11,Telehealth waiting-room optimization,closed,CMIO,Amwell,2350000,0,Closed Healthy,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-12,Claims attachment automation,closed,COO,Change Healthcare,2525000,3210000,Closed With Lessons,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-13,Bedside device refresh,closed,CDIO,Cisco,2700000,3420000,Landed,Closed,Closed initiative used for outcome calibration.
MR-CLOSED-14,Clinical data archive migration,closed,CFO,Pure Storage,2875000,3630000,Closed Healthy,Closed,Closed initiative used for outcome calibration.
