dimension,status,summaryTab,dataTab,relationshipsTab,gapsTab,evidenceTab,avaContext,previewProfiles,previewRelationships,previewEvidenceRefs,blockers
Enterprise Profile,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Business Functions,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Org Ownership,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Workforce Roles,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Applications & Systems,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Data Assets & Integrations,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Infrastructure & Platforms,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Vendors & Contracts,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
"IT Budget, Spend & Value",legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
Programs & Initiatives,legacy_behavior,generic_copy,legacy_behavior,missing_relationships,partially_ready,partially_ready,partially_ready,156,152,19,"Default Home source still contains loaded-record/file-count style summary copy. | Default Data tab is not proven to read entity profiles/canonical facts. | Relationship candidates exist in Knowledge preview, but default Home is not proven to render the graph slice. | Home/aVa answer path is not proven to use HomeKnowledgePack by default."
