attestation_id,scope,status,owner
IB-01,patient access,signed,General Counsel
IB-02,API access,pending_review,CDIO
IB-03,provider directory,evidence_needed,Privacy Officer
IB-04,payer exchange,signed,General Counsel
IB-05,patient access,pending_review,CDIO
IB-06,API access,evidence_needed,Privacy Officer
IB-07,provider directory,signed,General Counsel
IB-08,payer exchange,pending_review,CDIO
IB-09,patient access,evidence_needed,Privacy Officer
IB-10,API access,signed,General Counsel
IB-11,provider directory,pending_review,CDIO
IB-12,payer exchange,evidence_needed,Privacy Officer
