tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,document_id,concept_ref,source_page,span_start,span_end,extracted_text,extraction_method,confidence,conflict_group_id,review_state,row_hash
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-MSA-01,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-MSA,master_services_agreement.precedence-and-change-control,1,120,190,"The MSA controls unless an executed amendment names MER-CTR-RCM-001, the clause number, the affected service tower, and the superseded document ID. Side letters cannot change price, SLA, notice, security, or termination rights without that explicit amendment reference.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,2cd397623c38f9f0e49542ca9dcb366e4e33a67514be4bb348850906d1052eb8
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-MSA-02,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-MSA,master_services_agreement.audit-and-records,2,220,290,"NorthBridge RCM Services LLC must retain CLM, AP, PO, SLA, case, transition, and control evidence at native source-system grain for seven years and produce extract IDs within ten business days.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,fa3f3e272448d9e1ff17e90710cce1bf65846198d4e754defc171b566ff6ecdc
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-MSA-03,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-MSA,master_services_agreement.termination-and-step-in,3,320,390,"Meridian may terminate for uncured material breach, missed transition gates, repeated control failure, or unresolved data-access violations. Step-in rights attach to claims intake and denial management continuity events.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,c9f77dfa79899eb6595f18142e60c3048058229b77c7b1483c42a7b823464553
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-MSA-04,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-MSA,master_services_agreement.confidentiality-and-data-use,4,420,490,"Supplier may process Meridian data only for contracted services and must preserve owner, source system, source row, location, and subprocessor lineage for every handoff.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,805ec1a9ab5f2af6cd36824534ac54f1867e6842c7c290b6fda2b07263a609f7
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-CORE-01,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-CORE,statement_of_work_core.in-scope-services,1,120,190,"In-scope services cover claims intake, denial management, payment posting, and patient billing; each service has a retained owner, supplier owner, system of record, volume baseline, and handoff gate.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,b8f2d1ed0954eca080f82428fcdc32bd7d21458add058ba00fa62faf9812e792
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-CORE-02,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-CORE,statement_of_work_core.out-of-scope-work,2,220,290,"Clinical judgement, policy exception approval, final finance signoff, employment decisions, and vendor award decisions remain retained Meridian responsibilities.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,2be8a548525459a993d84ae2afb9daa28bad6d965bab629d834aed01aae5e07c
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-CORE-03,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-CORE,statement_of_work_core.delivery-locations,3,320,390,"Delivery may occur from Denver service center, remote US operations, offshore analytics pod only when role, data class, and access-control evidence are approved.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,d1f5b011dd5c4de8e2e4b94dc1684ad9fe7f5e384066f2e0eb89f3edc641929c
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-CORE-04,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-CORE,statement_of_work_core.governance-cadence,4,420,490,"Weekly operations review and monthly commercial review must reconcile scope, backlog, SLA, invoice, staffing, transition issue, and control-exception data.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,734a15ed0c9b771ce4307498127b20928ed931cb9ce501ca69506afec0129e9a
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-OPERATIONS-01,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-OPERATIONS,service_operations_schedule.native-operational-grain,1,120,190,"Epic Resolute exports must preserve source record, case/process ID, period, queue, owner, status, touch count, rework flag, cycle time, and quality disposition.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,558753987be630a75ae134c3a7c8c02ad327b969699c6665e50305687f894c60
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-OPERATIONS-02,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-OPERATIONS,service_operations_schedule.workload-baseline,2,220,290,The baseline uses six monthly periods ending 2027-06-30; generated rows carry formula notes and are not client truth.,synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,ec9df2bb49e419aa2246c083bea40caeabfa2fbf3aa0082879525256ff1e32e1
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-OPERATIONS-03,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-OPERATIONS,service_operations_schedule.retained-organization,3,320,390,"Meridian retains policy authority, exception approval, business-rule stewardship, compliance review, and Finance value confirmation.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,4e1654a0654efcf20940f574bb50b7a2c064b2b9f83aaf39de4de3f9e348765d
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SOW-OPERATIONS-04,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SOW-OPERATIONS,service_operations_schedule.operational-handoffs,4,420,490,Supplier handoffs must cite case IDs and responsible role before work can be measured or priced.,synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,9bfa50c52baf85d15f84dc7850fca18afeeca2100a68ae20b27a6fe3c8eea7fd
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SLA-SCHEDULE-01,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,service_level_kpi_schedule.service-level-definitions,1,120,190,"Primary KPIs are claims intake cycle time, denial management accuracy, payment posting backlog age, and patient billing first-pass quality with metric definitions tied to native exports.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,0f6841193d414a31e6378ea704e38569e208f8a46c5cd2d352e3cb1cf5f50d9a
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SLA-SCHEDULE-02,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,service_level_kpi_schedule.fee-base,2,220,290,"Monthly fee base excludes taxes, pass-throughs, transition charges, and disputed one-time items. Credits use the current operative pricing line for the service tower.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,1210e956d5a6710d5341c67f0074d088f35cd81e1f0469190f7dde5bf0932376
meridian-health,Synthetic document extraction pipeline,markdown_pdf_equivalent_clause_extract,CLAUSE-DOC-MER-CTR-RCM-001-SLA-SCHEDULE-03,extract-meridian-clauses-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,service_level_kpi_schedule.exclusions,3,320,390,"Client-caused dependency holds, policy freezes, force majeure, and approved transition blackouts are excluded only when evidenced by issue IDs.",synthetic_role_specific_page_span_markdown_equivalent,0.93,,accepted_synthetic_fixture,74b87061b164d86b664a88230df3dc85135779941c0c72fb519548e166b50e37
