product_family_id,business_unit,revenue_usd,margin_pct,lifecycle_state,regulatory_burden,plant_dependency,product_name,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
PF-NLS-001,Northline,18000000,18,invest,High: food safety / consumer product claims,Warehouse / 3PL dependency,Cold-chain services,Northline product portfolio,northline-product-portfolio-0001,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-002,Brightmark,10800000,19.6,sustain,Standard commercial controls,Agency and supplier network,Freight brokerage,Brightmark product portfolio,brightmark-product-portfolio-0002,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-003,Forge & Field,14400000,21.2,modernize,Standard commercial controls,Warehouse / 3PL dependency,Promotion kits,Forge & Field product portfolio,forge-field-product-portfolio-0003,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-004,Great Lakes Pantry,11340000,22.8,retire,Standard commercial controls,Agency and supplier network,Loyalty platforms,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0004,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-005,Northline,36000000,24.4,invest,Standard commercial controls,Warehouse / 3PL dependency,Drinkware,Northline product portfolio,northline-product-portfolio-0005,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-006,Brightmark,19440000,26,sustain,High: food safety / consumer product claims,Agency and supplier network,DTC bundles,Brightmark product portfolio,brightmark-product-portfolio-0006,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-007,Forge & Field,9600000,27.6,modernize,Standard commercial controls,Warehouse / 3PL dependency,Office micro-markets,Forge & Field product portfolio,forge-field-product-portfolio-0007,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-008,Great Lakes Pantry,8100000,29.2,retire,Standard commercial controls,Agency and supplier network,Pantry services,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0008,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-009,Northline,27000000,30.8,invest,Standard commercial controls,Warehouse / 3PL dependency,Onsite dining,Northline product portfolio,northline-product-portfolio-0009,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-010,Brightmark,15120000,18,sustain,Standard commercial controls,Agency and supplier network,Route replenishment,Brightmark product portfolio,brightmark-product-portfolio-0010,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-011,Forge & Field,19200000,19.6,modernize,High: food safety / consumer product claims,Warehouse / 3PL dependency,Cold-chain services,Forge & Field product portfolio,forge-field-product-portfolio-0011,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-012,Great Lakes Pantry,14580000,21.2,retire,Standard commercial controls,Agency and supplier network,Freight brokerage,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0012,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
