tenant_key,dataset_version,contract_id,month,spend_usd,commitment_run_rate_usd,utilization_pct,workload,source_row_id
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2025-10,1400,129167,1.08,Claims Denials Pattern Analysis (pilot),SRC-SPD-001
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2025-11,1900,129167,1.47,Claims Denials Pattern Analysis (pilot),SRC-SPD-002
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2025-12,2300,129167,1.78,Claims Denials Pattern Analysis (pilot),SRC-SPD-003
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-01,2900,129167,2.24,Claims Denials Pattern Analysis (pilot),SRC-SPD-004
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-02,3500,129167,2.71,Claims Denials Pattern Analysis (pilot),SRC-SPD-005
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-03,4300,129167,3.33,Claims Denials Pattern Analysis (pilot),SRC-SPD-006
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-04,5300,129167,4.10,Claims Denials Pattern Analysis (pilot),SRC-SPD-007
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-05,7100,129167,5.50,Claims Denials Pattern Analysis (pilot),SRC-SPD-008
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-06,8100,129167,6.27,Claims Denials Pattern Analysis (pilot),SRC-SPD-009
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-07,10600,129167,8.21,Claims Denials Pattern Analysis (pilot),SRC-SPD-010
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-08,13900,129167,10.76,Claims Denials Pattern Analysis (pilot),SRC-SPD-011
meridian-health,meridian-databricks-enterprise-agreement-v1-20260908,MER-TECH-DBX-001,2026-09,4800,129167,3.72,"Claims Denials Pattern Analysis (pilot) — partial month, through Sep 8",SRC-SPD-012
