tenant,file,change
lakeshore-industries,lakeshore-industries-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,profile annual_technology_budget_usd: 1160000000 -> 1800000000
lakeshore-industries,lakeshore-industries-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,profile annual_ai_and_data_budget_usd: 96000000 -> 54000000
meridian-health,meridian-health-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,profile annual_technology_budget_usd: 1280000000 -> 1600000000
meridian-health,meridian-health-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,profile annual_ai_and_data_budget_usd: 162000000 -> 48000000
skyharbor-air,skyharbor-air-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,profile annual_technology_budget_usd: 2280000000 -> 2800000000
skyharbor-air,skyharbor-air-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,profile annual_ai_budget_usd: 248000000 -> 84000000
first-capital,first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 1 aligned to F09 FC-DATA-001
first-capital,first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 2 aligned to F09 FC-DATA-002
first-capital,first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 3 aligned to F09 FC-DATA-003
lakeshore-industries,lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 1 aligned to F09 LAK-DATA-001
lakeshore-industries,lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 2 aligned to F09 LAK-DATA-002
lakeshore-industries,lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 3 aligned to F09 LAK-DATA-003
meridian-health,meridian-health-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 1 aligned to F09 MER-DATA-001
meridian-health,meridian-health-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 2 aligned to F09 MER-DATA-002
meridian-health,meridian-health-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,F21 row 3 aligned to F09 MER-DATA-003
lakeshore-industries,lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,normalized 36 owning_team_id aliases
meridian-health,meridian-health-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,normalized 34 owning_team_id aliases
skyharbor-air,skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,normalized 218 owning_team_id aliases
skyharbor-air,family-2-technology-estate/F06_system-function-mapping.csv,normalized 95 SHA-APP ids to APP ids
skyharbor-air,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,normalized 72 SHA-APP ids to APP ids
skyharbor-air,family-8-semantic-enrichment/F20_capability-system-dependency.csv,normalized 95 F20 system ids and filled system labels
skyharbor-air,family-3-data-connectivity/F10_integrations-interfaces.csv,reconciled 1580 F10 integration endpoints to F05 app inventory
apex-retail,apex-retail-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,added deterministic run/change or CapEx/OpEx classification fields where missing
first-capital,first-capital-financial-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,added deterministic run/change or CapEx/OpEx classification fields where missing
lakeshore-industries,lakeshore-industries-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,added deterministic run/change or CapEx/OpEx classification fields where missing
meridian-health,meridian-health-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,added deterministic run/change or CapEx/OpEx classification fields where missing
skyharbor-air,skyharbor-air-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,added deterministic run/change or CapEx/OpEx classification fields where missing
