period,metric,value,currency_or_unit,segment,margin_bridge_driver,source_report,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
2024-Q2,revenue_usd,836600000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0001,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,ebitda_usd,89770000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0002,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,cash_forecast_accuracy_pct,73,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0003,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,working_capital_usd,368104000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0004,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,days_sales_outstanding,39,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0005,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,days_payable_outstanding,53,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0006,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,revenue_usd,847280000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0007,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,ebitda_usd,90916000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0008,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,cash_forecast_accuracy_pct,75,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0009,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,working_capital_usd,372803200,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0010,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,days_sales_outstanding,39,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0011,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,days_payable_outstanding,54,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0012,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,revenue_usd,857960000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0013,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,ebitda_usd,92062000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0014,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,cash_forecast_accuracy_pct,77,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0015,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,working_capital_usd,377502400,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0016,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,days_sales_outstanding,39,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0017,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,days_payable_outstanding,56,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0018,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q1,revenue_usd,868640000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0019,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q1,ebitda_usd,93208000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0020,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q1,cash_forecast_accuracy_pct,79,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0021,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q1,working_capital_usd,382201600,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0022,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q1,days_sales_outstanding,38,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0023,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q1,days_payable_outstanding,58,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0024,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q2,revenue_usd,879320000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0025,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q2,ebitda_usd,94354000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0026,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q2,cash_forecast_accuracy_pct,81,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0027,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q2,working_capital_usd,386900800,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0028,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q2,days_sales_outstanding,38,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0029,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q2,days_payable_outstanding,59,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0030,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q3,revenue_usd,890000000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0031,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q3,ebitda_usd,95500000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0032,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q3,cash_forecast_accuracy_pct,83,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0033,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q3,working_capital_usd,391600000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0034,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q3,days_sales_outstanding,37,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0035,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q3,days_payable_outstanding,61,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0036,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q4,revenue_usd,900680000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0037,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q4,ebitda_usd,96646000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0038,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q4,cash_forecast_accuracy_pct,85,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0039,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q4,working_capital_usd,396299200,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0040,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q4,days_sales_outstanding,36,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0041,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2025-Q4,days_payable_outstanding,63,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0042,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2026-Q1,revenue_usd,911360000,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0043,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2026-Q1,ebitda_usd,97792000,USD,Holdco,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0044,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2026-Q1,cash_forecast_accuracy_pct,87,percent,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0045,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2026-Q1,working_capital_usd,400998400,USD,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0046,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2026-Q1,days_sales_outstanding,36,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0047,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2026-Q1,days_payable_outstanding,65,days,Holdco,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0048,Holdco FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,revenue_usd,352500000,USD,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0049,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,ebitda_usd,40420000,USD,Northline,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0050,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,cash_forecast_accuracy_pct,68,percent,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0051,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,working_capital_usd,155100000,USD,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0052,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,days_sales_outstanding,39,days,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0053,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q2,days_payable_outstanding,53,days,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0054,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,revenue_usd,357000000,USD,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0055,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,ebitda_usd,40936000,USD,Northline,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0056,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,cash_forecast_accuracy_pct,70,percent,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0057,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,working_capital_usd,157080000,USD,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0058,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,days_sales_outstanding,39,days,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0059,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q3,days_payable_outstanding,54,days,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0060,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,revenue_usd,361500000,USD,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0061,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,ebitda_usd,41452000,USD,Northline,"Freight cost, promotion sourcing margin, channel mix",Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0062,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,cash_forecast_accuracy_pct,72,percent,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0063,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,working_capital_usd,159060000,USD,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0064,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,days_sales_outstanding,39,days,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0065,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
2024-Q4,days_payable_outstanding,56,days,Northline,,Lakeshore CFO flash package,Anaplan FP&A,anaplan-fp-a-0066,Northline FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
