tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,extraction_id,concept_ref,evidence_class,subject_kind,subject_ref,value_text,value_num,value_bool,source_file_id,source_section,source_page,confidence,review_state
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-001,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-001,base_fee,commercial,contract,MER-TECH-LAAMS-001,base fee is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-001.,,,DOC-LAAMS-MSA,commercial,2,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-002,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-002,annual_escalator,commercial,contract,MER-TECH-LAAMS-001,annual escalator is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-002.,,,DOC-LAAMS-MSA,commercial,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-003,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-003,renewal_notice,commercial,contract,MER-TECH-LAAMS-001,renewal notice is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-003.,,,DOC-LAAMS-MSA,commercial,4,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-004,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-004,benchmarking_right,commercial,contract,MER-TECH-LAAMS-001,benchmarking right is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-004.,,,DOC-LAAMS-MSA,commercial,5,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-005,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-005,termination_for_convenience,commercial,contract,MER-TECH-LAAMS-001,termination for convenience is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-005.,,,DOC-LAAMS-MSA,commercial,6,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-006,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-006,service_credit_cap,commercial,contract,MER-TECH-LAAMS-001,service credit cap is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-006.,,,DOC-LAAMS-MSA,commercial,7,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-007,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-007,sla_credit_claim_process,commercial,contract,MER-TECH-LAAMS-001,sla credit claim process is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-007.,,,DOC-LAAMS-MSA,commercial,8,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-008,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-008,transition_assistance,commercial,contract,MER-TECH-LAAMS-001,transition assistance is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-008.,,,DOC-LAAMS-MSA,commercial,9,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-009,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-009,key_personnel,commercial,contract,MER-TECH-LAAMS-001,key personnel is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-009.,,,DOC-LAAMS-SOW,commercial,10,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-010,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-010,offshore_delivery,commercial,contract,MER-TECH-LAAMS-001,offshore delivery is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-010.,,,DOC-LAAMS-SOW,commercial,11,0.91,synthetic_demo_reviewed
