gate_id,initiative_id,gate_name,gate_date,approved_by_role,approved_by_name,decision,conditions,next_gate,next_gate_target_date
GAP-001,FCF-INIT-001,Business Case Approval,2025-09-28,SVP Payments Technology,[Synthetic],approved,Sanctions screening must reach OCC sign-off before full go-live,Sanctions Screening Gate,2026-03-31
GAP-002,FCF-INIT-001,Core API Integration Complete,2026-01-14,SVP Payments Technology,[Synthetic],approved,FedNow ops runbook due Q2 2026,24x7 Ops Readiness,2026-06-30
GAP-003,FCF-INIT-002,Business Case Approval,2025-10-12,Chief Risk Officer,[Synthetic],approved,SR 11-7 pre-assessment must complete before pilot goes to production,SR 11-7 Validation,2026-04-30
GAP-004,FCF-INIT-002,Model Development Complete,2026-02-10,Chief Model Risk Officer,[Synthetic],approved,Model not to be used in production AML decisioning until SR 11-7 complete,SR 11-7 Validation,2026-07-31
GAP-005,FCF-INIT-004,Business Case Approval,2025-04-28,Chief Risk Officer,[Synthetic],approved,MRM validation prior to ACH extension,90-Day Fraud Evidence,2025-12-31
GAP-006,FCF-INIT-004,90-Day Fraud Evidence,2026-01-02,Board Risk Committee,[Synthetic],approved,None — evidence exceeded threshold; scale to ACH+wire approved,ACH+Wire Expansion,2026-06-30
GAP-007,FCF-INIT-007,90-Day Teller Adoption Review,2025-02-10,SVP Retail Bank Ops,[Synthetic],failed,Adoption 18% vs 60% required; privacy review not cleared; initiative on watchlist,Kill Decision,2026-06-30
GAP-008,FCF-INIT-008,6-Month AHT Review,2025-10-05,SVP Client Service,[Synthetic],failed,AHT unchanged; coaching-risk incidents; recommend kill at next IT governance meeting,Kill Decision,2026-06-30
GAP-009,FCF-INIT-010,"1,200 Seat Pilot Live",2025-10-28,CIO,[Synthetic],approved,Data-handling policy to be renewed at 90-day review,90-Day Productivity Evidence,2026-01-31
GAP-010,FCF-INIT-010,90-Day Productivity Evidence,2026-02-05,CIO,[Synthetic],approved,Finance DLP policy must be resolved before GL-connected Copilot use cases,"3,000 Seat Expansion",2026-06-30
GAP-011,FCF-INIT-012,47-Model Inventory Complete,2026-01-29,Chief Model Risk Officer,[Synthetic],approved,12 at-risk models prioritized for Q2-Q3 2026 evidence packaging,12 At-Risk Models Automated,2026-05-31
