bafo_question_id,bafo_id,proposal_id,lot_id,bidder,question_type,evaluation_ref
BAFOQ-HCDN-LOT-HCDN-01-A-01,BAFO-HCDN-A-LOT-HCDN-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,improve service credit,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-A-02,BAFO-HCDN-A-LOT-HCDN-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-A-03,BAFO-HCDN-A-LOT-HCDN-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,commit value,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-A-04,BAFO-HCDN-A-LOT-HCDN-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,address PHI/security,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-A-05,BAFO-HCDN-A-LOT-HCDN-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,clarify pricing,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-B-01,BAFO-HCDN-B-LOT-HCDN-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,improve service credit,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-B-02,BAFO-HCDN-B-LOT-HCDN-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-B-03,BAFO-HCDN-B-LOT-HCDN-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,commit value,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-B-04,BAFO-HCDN-B-LOT-HCDN-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,address PHI/security,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-B-05,BAFO-HCDN-B-LOT-HCDN-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,clarify pricing,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-C-01,BAFO-HCDN-C-LOT-HCDN-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,improve service credit,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-C-02,BAFO-HCDN-C-LOT-HCDN-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-C-03,BAFO-HCDN-C-LOT-HCDN-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,commit value,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-C-04,BAFO-HCDN-C-LOT-HCDN-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,address PHI/security,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-01-C-05,BAFO-HCDN-C-LOT-HCDN-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,clarify pricing,EVAL-HCDN-LOT-HCDN-01
BAFOQ-HCDN-LOT-HCDN-02-A-01,BAFO-HCDN-A-LOT-HCDN-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,improve service credit,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-A-02,BAFO-HCDN-A-LOT-HCDN-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-A-03,BAFO-HCDN-A-LOT-HCDN-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,commit value,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-A-04,BAFO-HCDN-A-LOT-HCDN-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,address PHI/security,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-A-05,BAFO-HCDN-A-LOT-HCDN-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,clarify pricing,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-B-01,BAFO-HCDN-B-LOT-HCDN-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,improve service credit,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-B-02,BAFO-HCDN-B-LOT-HCDN-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-B-03,BAFO-HCDN-B-LOT-HCDN-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,commit value,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-B-04,BAFO-HCDN-B-LOT-HCDN-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,address PHI/security,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-B-05,BAFO-HCDN-B-LOT-HCDN-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,clarify pricing,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-C-01,BAFO-HCDN-C-LOT-HCDN-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,improve service credit,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-C-02,BAFO-HCDN-C-LOT-HCDN-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-C-03,BAFO-HCDN-C-LOT-HCDN-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,commit value,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-C-04,BAFO-HCDN-C-LOT-HCDN-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,address PHI/security,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-02-C-05,BAFO-HCDN-C-LOT-HCDN-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,clarify pricing,EVAL-HCDN-LOT-HCDN-02
BAFOQ-HCDN-LOT-HCDN-03-A-01,BAFO-HCDN-A-LOT-HCDN-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,improve service credit,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-A-02,BAFO-HCDN-A-LOT-HCDN-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-A-03,BAFO-HCDN-A-LOT-HCDN-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,commit value,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-A-04,BAFO-HCDN-A-LOT-HCDN-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,address PHI/security,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-A-05,BAFO-HCDN-A-LOT-HCDN-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,clarify pricing,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-B-01,BAFO-HCDN-B-LOT-HCDN-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,improve service credit,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-B-02,BAFO-HCDN-B-LOT-HCDN-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-B-03,BAFO-HCDN-B-LOT-HCDN-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,commit value,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-B-04,BAFO-HCDN-B-LOT-HCDN-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,address PHI/security,EVAL-HCDN-LOT-HCDN-03
