evidence_name,source_type,source_system_owner,as_of_date,domains_covered,sensitivity,approval_status,approved_for_modules,reuse_scope,quality_notes,location_file,known_gaps,confidence
HARBORTRUST-BANK-HT-ENTERPRISE-EV01 - Enterprise strategy interview,SME interview / exported source inventory,Chief Strategy Officer,2026-07-14,Executive Office; Enterprise Strategy; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-enterprise-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-ENTERPRISE-EV02 - FY26 banking priorities workshop,Source extract / architecture artifact,Chief Strategy Officer,2026-07-14,Executive Office; Enterprise Strategy; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-enterprise-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-RETAIL-EV01 - Retail banking application inventory,SME interview / exported source inventory,Retail Banking COO,2026-07-14,Retail Deposits and Branch Operations; Retail Banking; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-retail-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-RETAIL-EV02 - Branch operations workshop,Source extract / architecture artifact,Retail Banking COO,2026-07-14,Retail Deposits and Branch Operations; Retail Banking; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-retail-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-COMMERCIAL-EV01 - Commercial LOS export,SME interview / exported source inventory,Commercial Banking COO,2026-07-14,Commercial Lending and Treasury; Commercial Banking; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-commercial-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-COMMERCIAL-EV02 - Treasury services process map,Source extract / architecture artifact,Commercial Banking COO,2026-07-14,Commercial Lending and Treasury; Commercial Banking; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-commercial-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CARDS-EV01 - Cards platform extract,SME interview / exported source inventory,Head of Cards,2026-07-14,Cards Operations; Cards and Consumer Lending; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-cards-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CARDS-EV02 - Dispute operations dashboard,Source extract / architecture artifact,Head of Cards,2026-07-14,Cards Operations; Cards and Consumer Lending; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-cards-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-PAYMENTS-EV01 - Payments hub interface inventory,SME interview / exported source inventory,Payments Leader,2026-07-14,Payments Operations; Payments; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-payments-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-PAYMENTS-EV02 - Settlement reconciliation extract,Source extract / architecture artifact,Payments Leader,2026-07-14,Payments Operations; Payments; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-payments-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
