initiative_id,metric_basis,promised_benefit_usd,measured_value_usd,unrealized_or_blocked_value_usd,confidence,evidence_status
APX-INIT-001,annualized_value_capture,95000000,12000000,83000000,medium,source_backed
APX-INIT-002,annualized_value_capture,72000000,21000000,51000000,high,source_backed
APX-INIT-003,annualized_value_capture,51000000,9000000,42000000,medium,source_backed
APX-INIT-004,annualized_value_capture,68000000,6800000,61200000,medium,source_backed
APX-INIT-005,annualized_value_capture,84000000,42000000,42000000,high,source_backed
APX-INIT-006,annualized_value_capture,38000000,4000000,34000000,medium,source_backed
APX-INIT-007,annualized_value_capture,34000000,7400000,26600000,medium,source_backed
APX-INIT-008,annualized_value_capture,26000000,3200000,22800000,medium,source_backed
APX-INIT-009,annualized_value_capture,24000000,5800000,18200000,high,source_backed
APX-INIT-010,annualized_value_capture,18000000,2400000,15600000,medium,source_backed
APX-INIT-011,annualized_value_capture,30000000,0,30000000,low,review_required
APX-INIT-012,annualized_value_capture,43000000,0,43000000,low,review_required
APX-INIT-013,annualized_value_capture,36000000,7200000,28800000,medium,source_backed
APX-INIT-014,annualized_value_capture,22000000,9800000,12200000,high,source_backed
