kpi_id,kpi_name,domain,baseline_value,current_value,target_value,measurement_period,evidence_id,decision_relevance
FC-KPI-001,Efficiency ratio,finance,63.1%,61.4%,57.0%,2026-Q2,FC-EVID-001,AI cost-takeout and automation
FC-KPI-002,Net interest margin,finance,2.71%,2.78%,2.95%,2026-Q2,FC-EVID-002,Deposit pricing optimization
FC-KPI-003,Cost of risk (bps),risk,54,48,40,2026-Q2,FC-EVID-003,Credit risk modeling
FC-KPI-004,Fraud loss (bps),financial_crimes,6.4,5.2,3.8,2026-Q2,FC-EVID-004,Real-time fraud detection
FC-KPI-005,AML alert false-positive rate,financial_crimes,96%,95%,80%,2026-Q2,FC-EVID-005,AML triage reduction
FC-KPI-006,Digital active adoption,consumer,70%,74%,85%,2026-Q2,FC-EVID-006,Channels and engagement
FC-KPI-007,Contact center first-contact resolution,operations,68%,72%,83%,2026-Q2,FC-EVID-007,Next-best-action assist
FC-KPI-008,Commercial loan cycle time (days),commercial,21,18,9,2026-Q2,FC-EVID-008,Spreading automation
FC-KPI-009,Regulatory close (days),finance,11,9,5,2026-Q2,FC-EVID-009,Close automation
FC-KPI-010,Engineering lead time (days),technology,24,17,9,2026-Q2,FC-EVID-010,Code-assist productivity
FC-KPI-011,Card dispute resolution (days),cards,19,15,8,2026-Q2,FC-EVID-011,Dispute automation
FC-KPI-012,Model validation backlog,risk,38,31,12,2026-Q2,FC-EVID-012,MRM evidence automation
