tenant_key,from_object_type,from_object_name,relationship_type,to_object_type,to_object_name,relationship_strength,evidence_basis,current_state_or_target_state,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
first-capital-financial,system,card processing platform,depends_on,program,Payments Platform Resilience,medium,FCF-EVID-07201,target_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,data retention evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00001,FCF-EVID-07201,FCF-12_RELATIONSHIPS-SRC-00001,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,data_asset,payments hub,feeds,AI candidate,Loan document intake automation,high,FCF-EVID-07202,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,access controls evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00002,FCF-EVID-07202,FCF-12_RELATIONSHIPS-SRC-00002,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,program,ACH and wire operations,funds,control,Core Banking Simplification,medium,FCF-EVID-07203,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00003,FCF-EVID-07203,FCF-12_RELATIONSHIPS-SRC-00003,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,vendor,fraud detection platform,blocked_by,vendor,Wealth advisor research assistant,candidate,FCF-EVID-07204,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,customer consent evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00004,FCF-EVID-07204,FCF-12_RELATIONSHIPS-SRC-00004,12_relationships,Relationships,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,risk_control,AML/KYC case management,owned_by,metric,Regulatory Reporting Automation,medium,FCF-EVID-07205,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00005,FCF-EVID-07205,FCF-12_RELATIONSHIPS-SRC-00005,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,metric,CRM and banker desktop,supports,data_asset,Branch workforce knowledge assistant,high,FCF-EVID-07206,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,operational resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00006,FCF-EVID-07206,FCF-12_RELATIONSHIPS-SRC-00006,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,system,contact center platform,depends_on,program,Cloud Resilience and Zero Trust,medium,FCF-EVID-07207,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,third-party risk evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00007,FCF-EVID-07207,FCF-12_RELATIONSHIPS-SRC-00007,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,data_asset,mobile banking platform,feeds,AI candidate,Model risk documentation assistant,candidate,FCF-EVID-07208,target_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,cyber risk evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00008,FCF-EVID-07208,FCF-12_RELATIONSHIPS-SRC-00008,12_relationships,Relationships,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,program,online banking platform,funds,control,Wealth Advisor Desktop Modernization,medium,FCF-EVID-07209,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,fraud loss evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00009,FCF-EVID-07209,FCF-12_RELATIONSHIPS-SRC-00009,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,vendor,cloud lakehouse foundation,blocked_by,vendor,Fraud alert triage copilot,high,FCF-EVID-07210,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00010,FCF-EVID-07210,FCF-12_RELATIONSHIPS-SRC-00010,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,risk_control,enterprise risk platform,owned_by,metric,Finance and GL Modernization,medium,FCF-EVID-07211,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,cloud exit and resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00011,FCF-EVID-07211,FCF-12_RELATIONSHIPS-SRC-00011,12_relationships,Relationships,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,metric,general ledger and ERP,supports,data_asset,Contact center agent assist,candidate,FCF-EVID-07212,current_state_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,model risk management evidence requires owner validation; source is synthetic and candidate-only,FCF-12-00012,FCF-EVID-07212,FCF-12_RELATIONSHIPS-SRC-00012,12_relationships,Relationships,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
