initiative_id,milestone_id,milestone_name,milestone_type,target_date,actual_date,status,gate_criteria,approver_role,blocker,evidence_id
SHA-INIT-001,SHA-INIT-001-M1,IROPS Agentic Recovery Cockpit case,business_case,2026-01-28,,complete,sponsor case approved,EVP Operations,,EVID-SHA-0001
SHA-INIT-001,SHA-INIT-001-M2,IROPS Agentic Recovery Cockpit pilot,delivery,2026-02-28,,complete,pilot telemetry captured,EVP Operations,,EVID-SHA-0002
SHA-INIT-001,SHA-INIT-001-M3,IROPS Agentic Recovery Cockpit control gate,gate,2026-03-28,,blocked,risk/control evidence approved,EVP Operations,"Data readiness, crew legality, DOT obligation guardrails",EVID-SHA-0003
SHA-INIT-001,SHA-INIT-001-M4,IROPS Agentic Recovery Cockpit scale gate,gate,2026-04-28,,not_started,scale economics approved,EVP Operations,,EVID-SHA-0004
SHA-INIT-001,SHA-INIT-001-M5,IROPS Agentic Recovery Cockpit value realization,delivery,2026-05-28,,not_started,benefit attested,EVP Operations,,EVID-SHA-0005
SHA-INIT-002,SHA-INIT-002-M1,Delta-style Digital Concierge case,business_case,2026-02-28,2026-02-21,complete,sponsor case approved,SVP Flight Operations,,EVID-SHA-0002
SHA-INIT-002,SHA-INIT-002-M2,Delta-style Digital Concierge pilot,delivery,2026-03-28,2026-03-21,complete,pilot telemetry captured,SVP Flight Operations,,EVID-SHA-0003
SHA-INIT-002,SHA-INIT-002-M3,Delta-style Digital Concierge control gate,gate,2026-04-28,,in_progress,risk/control evidence approved,SVP Flight Operations,No CDP; consent and identity fragmented,EVID-SHA-0004
SHA-INIT-002,SHA-INIT-002-M4,Delta-style Digital Concierge scale gate,gate,2026-05-28,,not_started,scale economics approved,SVP Flight Operations,,EVID-SHA-0005
SHA-INIT-002,SHA-INIT-002-M5,Delta-style Digital Concierge value realization,delivery,2026-06-28,,not_started,benefit attested,SVP Flight Operations,,EVID-SHA-0006
SHA-INIT-003,SHA-INIT-003-M1,Enterprise CDP Selection and Identity Graph case,business_case,2026-03-28,2026-03-21,complete,sponsor case approved,SVP Crew Resources,,EVID-SHA-0003
SHA-INIT-003,SHA-INIT-003-M2,Enterprise CDP Selection and Identity Graph pilot,delivery,2026-04-28,2026-04-21,complete,pilot telemetry captured,SVP Crew Resources,,EVID-SHA-0004
SHA-INIT-003,SHA-INIT-003-M3,Enterprise CDP Selection and Identity Graph control gate,gate,2026-05-28,,in_progress,risk/control evidence approved,SVP Crew Resources,Adobe/Salesforce overlap; data governance required,EVID-SHA-0005
SHA-INIT-003,SHA-INIT-003-M4,Enterprise CDP Selection and Identity Graph scale gate,gate,2026-06-28,,not_started,scale economics approved,SVP Crew Resources,,EVID-SHA-0006
SHA-INIT-003,SHA-INIT-003-M5,Enterprise CDP Selection and Identity Graph value realization,delivery,2026-07-28,,not_started,benefit attested,SVP Crew Resources,,EVID-SHA-0007
SHA-INIT-004,SHA-INIT-004-M1,Mainframe API and Event Bridge case,business_case,2026-04-28,,complete,sponsor case approved,SVP Airport Operations,,EVID-SHA-0004
SHA-INIT-004,SHA-INIT-004-M2,Mainframe API and Event Bridge pilot,delivery,2026-05-28,,complete,pilot telemetry captured,SVP Airport Operations,,EVID-SHA-0005
SHA-INIT-004,SHA-INIT-004-M3,Mainframe API and Event Bridge control gate,gate,2026-06-28,,in_progress,risk/control evidence approved,SVP Airport Operations,IBM Z coupling and batch windows,EVID-SHA-0006
SHA-INIT-004,SHA-INIT-004-M4,Mainframe API and Event Bridge scale gate,gate,2026-07-28,,not_started,scale economics approved,SVP Airport Operations,,EVID-SHA-0007
SHA-INIT-004,SHA-INIT-004-M5,Mainframe API and Event Bridge value realization,delivery,2026-08-28,,not_started,benefit attested,SVP Airport Operations,,EVID-SHA-0008
SHA-INIT-005,SHA-INIT-005-M1,Teradata Vantage Workload Rationalization case,business_case,2026-05-28,2026-05-21,complete,sponsor case approved,President TechOps,,EVID-SHA-0005
SHA-INIT-005,SHA-INIT-005-M2,Teradata Vantage Workload Rationalization pilot,delivery,2026-06-28,2026-06-21,complete,pilot telemetry captured,President TechOps,,EVID-SHA-0006
SHA-INIT-005,SHA-INIT-005-M3,Teradata Vantage Workload Rationalization control gate,gate,2026-07-28,,blocked,risk/control evidence approved,President TechOps,BI/SAS/DataStage duplication,EVID-SHA-0007
SHA-INIT-005,SHA-INIT-005-M4,Teradata Vantage Workload Rationalization scale gate,gate,2026-08-28,,not_started,scale economics approved,President TechOps,,EVID-SHA-0008
SHA-INIT-005,SHA-INIT-005-M5,Teradata Vantage Workload Rationalization value realization,delivery,2026-09-28,,not_started,benefit attested,President TechOps,,EVID-SHA-0001
SHA-INIT-006,SHA-INIT-006-M1,Crew Recovery Optimization case,business_case,2026-06-28,2026-06-21,complete,sponsor case approved,Chief Customer Experience Officer,,EVID-SHA-0006
SHA-INIT-006,SHA-INIT-006-M2,Crew Recovery Optimization pilot,delivery,2026-07-28,2026-07-21,complete,pilot telemetry captured,Chief Customer Experience Officer,,EVID-SHA-0007
SHA-INIT-006,SHA-INIT-006-M3,Crew Recovery Optimization control gate,gate,2026-08-28,,in_progress,risk/control evidence approved,Chief Customer Experience Officer,Crew contract logic and explainability,EVID-SHA-0008
SHA-INIT-006,SHA-INIT-006-M4,Crew Recovery Optimization scale gate,gate,2026-09-28,,not_started,scale economics approved,Chief Customer Experience Officer,,EVID-SHA-0001
SHA-INIT-006,SHA-INIT-006-M5,Crew Recovery Optimization value realization,delivery,2026-10-28,,not_started,benefit attested,Chief Customer Experience Officer,,EVID-SHA-0002
SHA-INIT-007,SHA-INIT-007-M1,Baggage Exception Prediction case,business_case,2026-07-28,,complete,sponsor case approved,SVP Digital Products,,EVID-SHA-0007
SHA-INIT-007,SHA-INIT-007-M2,Baggage Exception Prediction pilot,delivery,2026-08-28,,complete,pilot telemetry captured,SVP Digital Products,,EVID-SHA-0008
SHA-INIT-007,SHA-INIT-007-M3,Baggage Exception Prediction control gate,gate,2026-09-28,,in_progress,risk/control evidence approved,SVP Digital Products,Airport edge data quality,EVID-SHA-0001
SHA-INIT-007,SHA-INIT-007-M4,Baggage Exception Prediction scale gate,gate,2026-10-28,,not_started,scale economics approved,SVP Digital Products,,EVID-SHA-0002
SHA-INIT-007,SHA-INIT-007-M5,Baggage Exception Prediction value realization,delivery,2026-11-28,,not_started,benefit attested,SVP Digital Products,,EVID-SHA-0003
SHA-INIT-008,SHA-INIT-008-M1,MRO Predictive Maintenance Agent case,business_case,2026-08-28,2026-08-21,complete,sponsor case approved,President Loyalty,,EVID-SHA-0008
SHA-INIT-008,SHA-INIT-008-M2,MRO Predictive Maintenance Agent pilot,delivery,2026-09-28,2026-09-21,complete,pilot telemetry captured,President Loyalty,,EVID-SHA-0001
SHA-INIT-008,SHA-INIT-008-M3,MRO Predictive Maintenance Agent control gate,gate,2026-10-28,,in_progress,risk/control evidence approved,President Loyalty,FAA traceability and parts data,EVID-SHA-0002
SHA-INIT-008,SHA-INIT-008-M4,MRO Predictive Maintenance Agent scale gate,gate,2026-11-28,,not_started,scale economics approved,President Loyalty,,EVID-SHA-0003
SHA-INIT-008,SHA-INIT-008-M5,MRO Predictive Maintenance Agent value realization,delivery,2026-12-28,,not_started,benefit attested,President Loyalty,,EVID-SHA-0004
SHA-INIT-009,SHA-INIT-009-M1,Contact Center Agent Assist case,business_case,2026-09-28,2026-09-21,complete,sponsor case approved,EVP Commercial,,EVID-SHA-0001
SHA-INIT-009,SHA-INIT-009-M2,Contact Center Agent Assist pilot,delivery,2026-10-28,2026-10-21,complete,pilot telemetry captured,EVP Commercial,,EVID-SHA-0002
SHA-INIT-009,SHA-INIT-009-M3,Contact Center Agent Assist control gate,gate,2026-11-28,,blocked,risk/control evidence approved,EVP Commercial,Service recovery policy and voucher controls,EVID-SHA-0003
SHA-INIT-009,SHA-INIT-009-M4,Contact Center Agent Assist scale gate,gate,2026-12-28,,not_started,scale economics approved,EVP Commercial,,EVID-SHA-0004
SHA-INIT-009,SHA-INIT-009-M5,Contact Center Agent Assist value realization,delivery,2026-01-28,,not_started,benefit attested,EVP Commercial,,EVID-SHA-0005
SHA-INIT-010,SHA-INIT-010-M1,Engineering Productivity AI case,business_case,2026-10-28,,complete,sponsor case approved,SVP Network,,EVID-SHA-0002
SHA-INIT-010,SHA-INIT-010-M2,Engineering Productivity AI pilot,delivery,2026-11-28,,complete,pilot telemetry captured,SVP Network,,EVID-SHA-0003
SHA-INIT-010,SHA-INIT-010-M3,Engineering Productivity AI control gate,gate,2026-12-28,,in_progress,risk/control evidence approved,SVP Network,Mainframe code controls and IP/security,EVID-SHA-0004
SHA-INIT-010,SHA-INIT-010-M4,Engineering Productivity AI scale gate,gate,2026-01-28,,not_started,scale economics approved,SVP Network,,EVID-SHA-0005
SHA-INIT-010,SHA-INIT-010-M5,Engineering Productivity AI value realization,delivery,2026-02-28,,not_started,benefit attested,SVP Network,,EVID-SHA-0006
SHA-INIT-100,SHA-INIT-100-M1,IROPS recovery decisioning modernization case,business_case,2026-11-28,2026-11-21,complete,sponsor case approved,President Cargo,,EVID-SHA-0003
SHA-INIT-100,SHA-INIT-100-M2,IROPS recovery decisioning modernization pilot,delivery,2026-12-28,2026-12-21,complete,pilot telemetry captured,President Cargo,,EVID-SHA-0004
SHA-INIT-100,SHA-INIT-100-M3,IROPS recovery decisioning modernization control gate,gate,2026-01-28,,in_progress,risk/control evidence approved,President Cargo,Key dependency: mainframe interface,EVID-SHA-0005
SHA-INIT-100,SHA-INIT-100-M4,IROPS recovery decisioning modernization scale gate,gate,2026-02-28,,not_started,scale economics approved,President Cargo,,EVID-SHA-0006
SHA-INIT-100,SHA-INIT-100-M5,IROPS recovery decisioning modernization value realization,delivery,2026-03-28,,not_started,benefit attested,President Cargo,,EVID-SHA-0007
SHA-INIT-101,SHA-INIT-101-M1,Crew recovery and legality modernization case,business_case,2026-12-28,2026-12-21,complete,sponsor case approved,CFO,,EVID-SHA-0004
SHA-INIT-101,SHA-INIT-101-M2,Crew recovery and legality modernization pilot,delivery,2026-01-28,2026-01-21,complete,pilot telemetry captured,CFO,,EVID-SHA-0005
SHA-INIT-101,SHA-INIT-101-M3,Crew recovery and legality modernization control gate,gate,2026-02-28,,in_progress,risk/control evidence approved,CFO,Key dependency: data quality,EVID-SHA-0006
SHA-INIT-101,SHA-INIT-101-M4,Crew recovery and legality modernization scale gate,gate,2026-03-28,,not_started,scale economics approved,CFO,,EVID-SHA-0007
SHA-INIT-101,SHA-INIT-101-M5,Crew recovery and legality modernization value realization,delivery,2026-04-28,,not_started,benefit attested,CFO,,EVID-SHA-0008
SHA-INIT-102,SHA-INIT-102-M1,Flight planning and dispatch modernization case,business_case,2026-01-28,,complete,sponsor case approved,Chief Procurement Officer,,EVID-SHA-0005
SHA-INIT-102,SHA-INIT-102-M2,Flight planning and dispatch modernization pilot,delivery,2026-02-28,,complete,pilot telemetry captured,Chief Procurement Officer,,EVID-SHA-0006
SHA-INIT-102,SHA-INIT-102-M3,Flight planning and dispatch modernization control gate,gate,2026-03-28,,blocked,risk/control evidence approved,Chief Procurement Officer,Key dependency: source evidence,EVID-SHA-0007
SHA-INIT-102,SHA-INIT-102-M4,Flight planning and dispatch modernization scale gate,gate,2026-04-28,,not_started,scale economics approved,Chief Procurement Officer,,EVID-SHA-0008
SHA-INIT-102,SHA-INIT-102-M5,Flight planning and dispatch modernization value realization,delivery,2026-05-28,,not_started,benefit attested,Chief Procurement Officer,,EVID-SHA-0001
SHA-INIT-103,SHA-INIT-103-M1,Airport turn management modernization case,business_case,2026-02-28,2026-02-21,complete,sponsor case approved,Chief People Officer,,EVID-SHA-0006
SHA-INIT-103,SHA-INIT-103-M2,Airport turn management modernization pilot,delivery,2026-03-28,2026-03-21,complete,pilot telemetry captured,Chief People Officer,,EVID-SHA-0007
SHA-INIT-103,SHA-INIT-103-M3,Airport turn management modernization control gate,gate,2026-04-28,,in_progress,risk/control evidence approved,Chief People Officer,Key dependency: vendor renewal,EVID-SHA-0008
SHA-INIT-103,SHA-INIT-103-M4,Airport turn management modernization scale gate,gate,2026-05-28,,not_started,scale economics approved,Chief People Officer,,EVID-SHA-0001
