agent_id,agent_name,parent_system_id,business_function,status,monthly_work_items,resolved_or_assisted,human_escalation_pct,exception_rate_pct,verified_value_usd,risk_status,notes
SHA-AGT-001,IROPS Recovery Agent,SHA-APP-001,SHA-BF-001,active_approved,800,220,18,2,4000000,approved,IROPS Recovery Agent outcome telemetry for AI Control Tower
SHA-AGT-002,Crew Recovery Agent,SHA-APP-002,SHA-BF-002,pilot,1740,530,25,5,0,review_required,Crew Recovery Agent outcome telemetry for AI Control Tower
SHA-AGT-003,Customer Concierge,SHA-APP-003,SHA-BF-003,conditional,2680,840,32,8,0,blocked_evidence,Customer Concierge outcome telemetry for AI Control Tower
SHA-AGT-004,Contact Center Assist,SHA-APP-004,SHA-BF-004,blocked_controls,3620,1150,39,11,6700000,conditional,Contact Center Assist outcome telemetry for AI Control Tower
SHA-AGT-005,Baggage Exception Agent,SHA-APP-005,SHA-BF-005,active_approved,4560,1460,46,14,0,approved,Baggage Exception Agent outcome telemetry for AI Control Tower
SHA-AGT-006,MRO Maintenance Agent,SHA-APP-006,SHA-BF-006,pilot,5500,1770,53,2,0,review_required,MRO Maintenance Agent outcome telemetry for AI Control Tower
SHA-AGT-007,Revenue Analyst Copilot,SHA-APP-007,SHA-BF-007,conditional,6440,2080,18,5,9400000,blocked_evidence,Revenue Analyst Copilot outcome telemetry for AI Control Tower
SHA-AGT-008,Loyalty Offer Agent,SHA-APP-008,SHA-BF-008,blocked_controls,7380,2390,25,8,0,conditional,Loyalty Offer Agent outcome telemetry for AI Control Tower
SHA-AGT-009,SAP Finance Close Agent,SHA-APP-009,SHA-BF-009,active_approved,8320,2700,32,11,0,approved,SAP Finance Close Agent outcome telemetry for AI Control Tower
SHA-AGT-010,ServiceNow IT Agent,SHA-APP-010,SHA-BF-010,pilot,9260,3010,39,14,12100000,review_required,ServiceNow IT Agent outcome telemetry for AI Control Tower
SHA-AGT-011,Cyber Triage Agent,SHA-APP-011,SHA-BF-011,conditional,10200,3320,46,2,0,blocked_evidence,Cyber Triage Agent outcome telemetry for AI Control Tower
SHA-AGT-012,Developer Agent,SHA-APP-012,SHA-BF-012,blocked_controls,11140,3630,53,5,0,conditional,Developer Agent outcome telemetry for AI Control Tower
