rate_card_id,lot_id,service_tower,bidder,role_family,delivery_location,level,value_disclosure_mode,source_id
RATE-HCDN-LOT-HCDN-01-A-01,LOT-HCDN-01,Clinical and Epic AMS,A,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-02,LOT-HCDN-01,Clinical and Epic AMS,A,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-03,LOT-HCDN-01,Clinical and Epic AMS,A,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-04,LOT-HCDN-01,Clinical and Epic AMS,A,data engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-05,LOT-HCDN-01,Clinical and Epic AMS,A,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-06,LOT-HCDN-01,Clinical and Epic AMS,A,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-07,LOT-HCDN-01,Clinical and Epic AMS,A,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-A-08,LOT-HCDN-01,Clinical and Epic AMS,A,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-01-B-01,LOT-HCDN-01,Clinical and Epic AMS,B,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-02,LOT-HCDN-01,Clinical and Epic AMS,B,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-03,LOT-HCDN-01,Clinical and Epic AMS,B,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-04,LOT-HCDN-01,Clinical and Epic AMS,B,data engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-05,LOT-HCDN-01,Clinical and Epic AMS,B,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-06,LOT-HCDN-01,Clinical and Epic AMS,B,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-07,LOT-HCDN-01,Clinical and Epic AMS,B,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-B-08,LOT-HCDN-01,Clinical and Epic AMS,B,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-01-C-01,LOT-HCDN-01,Clinical and Epic AMS,C,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-02,LOT-HCDN-01,Clinical and Epic AMS,C,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-03,LOT-HCDN-01,Clinical and Epic AMS,C,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-04,LOT-HCDN-01,Clinical and Epic AMS,C,data engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-05,LOT-HCDN-01,Clinical and Epic AMS,C,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-06,LOT-HCDN-01,Clinical and Epic AMS,C,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-07,LOT-HCDN-01,Clinical and Epic AMS,C,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-01-C-08,LOT-HCDN-01,Clinical and Epic AMS,C,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-A-01,LOT-HCDN-02,Payer Platform Operations,A,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-02,LOT-HCDN-02,Payer Platform Operations,A,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-03,LOT-HCDN-02,Payer Platform Operations,A,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-04,LOT-HCDN-02,Payer Platform Operations,A,data engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-05,LOT-HCDN-02,Payer Platform Operations,A,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-06,LOT-HCDN-02,Payer Platform Operations,A,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-07,LOT-HCDN-02,Payer Platform Operations,A,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-A-08,LOT-HCDN-02,Payer Platform Operations,A,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-02-B-01,LOT-HCDN-02,Payer Platform Operations,B,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-02,LOT-HCDN-02,Payer Platform Operations,B,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-03,LOT-HCDN-02,Payer Platform Operations,B,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-04,LOT-HCDN-02,Payer Platform Operations,B,data engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-05,LOT-HCDN-02,Payer Platform Operations,B,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-06,LOT-HCDN-02,Payer Platform Operations,B,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-07,LOT-HCDN-02,Payer Platform Operations,B,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-B-08,LOT-HCDN-02,Payer Platform Operations,B,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-02-C-01,LOT-HCDN-02,Payer Platform Operations,C,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-02,LOT-HCDN-02,Payer Platform Operations,C,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-03,LOT-HCDN-02,Payer Platform Operations,C,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-04,LOT-HCDN-02,Payer Platform Operations,C,data engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-05,LOT-HCDN-02,Payer Platform Operations,C,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-06,LOT-HCDN-02,Payer Platform Operations,C,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-07,LOT-HCDN-02,Payer Platform Operations,C,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-02-C-08,LOT-HCDN-02,Payer Platform Operations,C,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-03-A-01,LOT-HCDN-03,Data Analytics and AI,A,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-02,LOT-HCDN-03,Data Analytics and AI,A,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-03,LOT-HCDN-03,Data Analytics and AI,A,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-04,LOT-HCDN-03,Data Analytics and AI,A,data engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-05,LOT-HCDN-03,Data Analytics and AI,A,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-06,LOT-HCDN-03,Data Analytics and AI,A,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-07,LOT-HCDN-03,Data Analytics and AI,A,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-A-08,LOT-HCDN-03,Data Analytics and AI,A,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-03-B-01,LOT-HCDN-03,Data Analytics and AI,B,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-02,LOT-HCDN-03,Data Analytics and AI,B,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-03,LOT-HCDN-03,Data Analytics and AI,B,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-04,LOT-HCDN-03,Data Analytics and AI,B,data engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-05,LOT-HCDN-03,Data Analytics and AI,B,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-06,LOT-HCDN-03,Data Analytics and AI,B,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-07,LOT-HCDN-03,Data Analytics and AI,B,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-B-08,LOT-HCDN-03,Data Analytics and AI,B,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-03-C-01,LOT-HCDN-03,Data Analytics and AI,C,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-03-C-02,LOT-HCDN-03,Data Analytics and AI,C,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-03-C-03,LOT-HCDN-03,Data Analytics and AI,C,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-C
