tenant_key,line_id,budget_area,function_or_platform,owner_role,owner_team_id,spend_type,budget_fy26_usd,run_budget_fy26_usd,change_budget_fy26_usd,ai_data_budget_fy26_usd,capex_budget_fy26_usd,opex_budget_fy26_usd,labor_pct,vendor_pct,cloud_infra_pct,budget_pressure,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
skyharbor-air,BUD-001,IBM Z / mainframe run,,,SHA-IT-009,run,386000000,386000000,0,not_loaded,162120000,223880000,,,,,none,it_budget,,committed,fy26,tenant_spend_type_run_v1; synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,2,tenant_file,
skyharbor-air,BUD-002,AWS cloud platform and modern apps,,,SHA-IT-010,run_change,278000000,172360000,105640000,not_loaded,116760000,161240000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,3,tenant_file,
skyharbor-air,BUD-003,Data platforms EDW lake BI SAS,,,SHA-IT-011,run_change,244000000,151280000,92720000,not_loaded,68320000,175680000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,4,tenant_file,
skyharbor-air,BUD-004,Digital commerce mobile customer platforms,,,SHA-IT-008,change,192000000,0,192000000,not_loaded,80640000,111360000,,,,,none,it_budget,,committed,fy26,tenant_spend_type_change_v1; synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,5,tenant_file,
skyharbor-air,BUD-005,Airline operations systems,,,SHA-IT-002,run_change,214000000,132680000,81320000,not_loaded,89880000,124120000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,6,tenant_file,
skyharbor-air,BUD-006,Crew flight airport MRO platforms,,,SHA-IT-003,run_change,422000000,261640000,160360000,not_loaded,177240000,244760000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,7,tenant_file,
skyharbor-air,BUD-007,Cybersecurity and resilience,,,SHA-IT-015,run_change,196000000,121520000,74480000,not_loaded,35280000,160720000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,8,tenant_file,
skyharbor-air,BUD-008,SAP and corporate systems,,,SHA-IT-013,run_change,126000000,78120000,47880000,not_loaded,44100000,81900000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,9,tenant_file,
skyharbor-air,BUD-009,AI and agentic portfolio,,,SHA-IT-016,change,248000000,0,248000000,not_loaded,104160000,143840000,,,,,none,it_budget,,committed,fy26,tenant_spend_type_change_v1; synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,10,tenant_file,
skyharbor-air,BUD-010,Integration API eventing,,,SHA-IT-012,run_change,108000000,66960000,41040000,not_loaded,32400000,75600000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,11,tenant_file,
skyharbor-air,BUD-011,ServiceNow SRE observability,,,SHA-IT-014,run_change,82000000,50840000,31160000,not_loaded,14760000,67240000,,,,,none,it_budget,,committed,fy26,synthetic_run_change_split_v1:62pct_run_from_run_change; synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,12,tenant_file,
skyharbor-air,BUD-012,Developer productivity and tools,,,SHA-IT-017,change,58000000,0,58000000,not_loaded,17400000,40600000,,,,,none,it_budget,,committed,fy26,tenant_spend_type_change_v1; synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,13,tenant_file,
skyharbor-air,BUD-013,Architecture strategy governance,,,SHA-IT-018,run,24000000,24000000,0,not_loaded,7200000,16800000,,,,,none,it_budget,,committed,fy26,tenant_spend_type_run_v1; synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,14,tenant_file,
