initiative_id,risk_id,risk_domain,severity,control_status,exception_or_gap,owner_role
LAK-AI-001,LAK-AI-001-RISK,privacy_security,critical,blocked,,Treasurer
LAK-AI-002,LAK-AI-002-RISK,model_risk,medium,approved_with_conditions,,Treasurer
LAK-AI-003,LAK-AI-003-RISK,clinical_or_operational_safety,medium,approved_with_conditions,,CFO
LAK-AI-004,LAK-AI-004-RISK,financial_control,high,review_required,,Controller
LAK-AI-005,LAK-AI-005-RISK,privacy_security,medium,approved_with_conditions,,VP IT Operations
LAK-AI-006,LAK-AI-006-RISK,model_risk,critical,blocked,,CFO
LAK-AI-007,LAK-AI-007-RISK,clinical_or_operational_safety,high,review_required,,Chief Procurement Officer
LAK-AI-008,LAK-AI-008-RISK,financial_control,medium,approved_with_conditions,,Treasurer
LAK-AI-009,LAK-AI-009-RISK,privacy_security,medium,approved_with_conditions,,Treasurer
LAK-AI-010,LAK-AI-010-RISK,model_risk,high,review_required,,Treasurer
