field_id,field_name,meaning,expected_owner,source_system_examples,validation_instruction,data_type,applies_to_files
FIELD-01,contract_id,Stable contract identifier already in register,Vendor management,CLM / contract register,Required for every row; must match source.contract_360,text,See evidence_source_inventory.csv
FIELD-02,vendor_id,Stable vendor identifier,Vendor management,CLM / vendor master,Required for every row; no names of people,text,See evidence_source_inventory.csv
FIELD-03,contract_english_overview,Plain-English summary of what the agreement covers,Legal operations + service owner,"Executed agreement PDF, SOW, order form",Must be specific to the contract; no boilerplate or internal metadata,long text,See evidence_source_inventory.csv
FIELD-04,line_item_description,"SKU, service, support tier, or rate-card line",Vendor management,Pricing schedule / order form,Each material spend component gets its own row,text,See evidence_source_inventory.csv
FIELD-05,invoiced_amount_usd,Invoice-line amount paid or pending,AP / finance operations,"SAP S/4HANA, Oracle AP, Coupa, Ariba",Must reconcile to AP extract for period,number,See evidence_source_inventory.csv
FIELD-06,exception_type,"Duplicate, off-contract, rate variance, or blank",AP + sourcing ops,AP reconciliation workpaper,"Blank means no exception found, not not reviewed",controlled text,See evidence_source_inventory.csv
FIELD-07,utilization_rate,Active usage divided by entitled quantity or cloud commitment drawdown,Platform admin / FinOps,"Admin center, Northgate Cloud Cost Management, AWS CUR, Vantage usage","0 to 1, monthly grain",decimal,See evidence_source_inventory.csv
FIELD-08,service_credits_earned_usd,Credits contractually earned due to SLA misses,Service management,"ServiceNow, vendor SLA portal, CLM obligation tracker","Earned, claimed, received must be separate",number,See evidence_source_inventory.csv
FIELD-09,service_credits_claimed_usd,Credits actually claimed from vendor,Vendor management,Claim log / vendor portal / AP credit memo,Cannot exceed earned credits,number,See evidence_source_inventory.csv
FIELD-10,rate_variance_usd,Billed rate over contract rate times volume,VMS owner + AP,"Fieldglass, Beeline, CLM schedule, invoice detail",Must reference contract rate and billed rate,number,See evidence_source_inventory.csv
FIELD-11,estimated_value_usd,Potential avoided or negotiated value in event workpaper,Sourcing + finance,"Sourcing event, benchmark, renewal quote",Planning value only until finance confirms,number,See evidence_source_inventory.csv
FIELD-12,realized_value_usd,Finance-confirmed realized value,IT FP&A,"Apptio, Anaplan, SAP CO, Oracle EPM, finance tracker",Never populate unless finance reviewed,number,See evidence_source_inventory.csv
FIELD-13,source_record_id,Original system record id,Source-system owner,Native extract,Required for traceability,text,See evidence_source_inventory.csv
FIELD-14,review_status,Review status of extracted row,AbarVa data steward + client owner,Load review,"synthetic_demo_reviewed, client_reviewed, unreviewed, rejected",controlled text,See evidence_source_inventory.csv
