tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,vendor_id,service,owning_function,linked_systems,contract_risk,pricing_basis,vendor_category,ai_capability,annual_contract_value_usd,linked_budget_record_ids,linked_program_code,ai_spend_flag,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis
meridian-health,Epic,,clinical EHR and Cogito analytics,Clinical Platforms,,,2025-09-02,2029-11-06,2027-12-08,license/support details not loaded,MER-SYS-EPIC-HYPERSPACE; MER-SYS-EPIC-CLARITY; MER-SYS-EPIC-CABOODLE,,Integration to governed lakehouse not proven,,,high,,MER-V3-0001,MER-HS,Epic,Epic,07_vendors_contracts,MER-V3-EVID-0070,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-EPIC,clinical EHR and Cogito analytics,Clinical Platforms,MER-SYS-EPIC-HYPERSPACE; MER-SYS-EPIC-CLARITY; MER-SYS-EPIC-CABOODLE,Integration to governed lakehouse not proven,license/support details not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Microsoft,,"SQL Server, Power BI, and productivity platform",Technology Platform,,,2022-02-10,2027-04-06,2029-10-10,commercial terms not loaded,MER-SYS-SQL-MARTS; MER-SYS-POWERBI,,SQL mart sprawl and gateway dependency,,,high,,MER-V3-0002,MER-HS,Microsoft,Microsoft,07_vendors_contracts,MER-V3-EVID-0071,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-MICROSOFT,"SQL Server, Power BI, and productivity platform",Technology Platform,MER-SYS-SQL-MARTS; MER-SYS-POWERBI,SQL mart sprawl and gateway dependency,commercial terms not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Tableau,,BI visualization estate,BI and Analytics,,,2023-05-02,2027-04-08,2027-10-17,commercial terms not loaded,MER-SYS-TABLEAU,,Extract sprawl and duplicate dashboards,,,high,,MER-V3-0003,MER-HS,Tableau,Tableau,07_vendors_contracts,MER-V3-EVID-0072,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-TABLEAU,BI visualization estate,BI and Analytics,MER-SYS-TABLEAU,Extract sprawl and duplicate dashboards,commercial terms not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,SAS,,legacy statistical analytics,Analytics,,,2023-10-20,2028-05-05,2029-06-07,commercial terms not loaded,MER-SYS-SAS,,Model and extract lineage not governed,,,medium,,MER-V3-0004,MER-HS,SAS,SAS,07_vendors_contracts,MER-V3-EVID-0073,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-SAS,legacy statistical analytics,Analytics,MER-SYS-SAS,Model and extract lineage not governed,commercial terms not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Outsourced analytics managed services provider,,analytics managed services,CDAO,,,2025-07-03,2029-09-11,2026-12-23,vendor identity and contract values not loaded,MER-SYS-SQL-MARTS; MER-SYS-TABLEAU; MER-SYS-POWERBI; MER-SYS-SAS,,80 percent maintenance load limits net-new delivery,,,high,,MER-V3-0005,MER-HS,Outsourced analytics managed services provider,Outsourced analytics managed services provider,07_vendors_contracts,MER-V3-EVID-0074,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-AMS,analytics managed services,CDAO,MER-SYS-SQL-MARTS; MER-SYS-TABLEAU; MER-SYS-POWERBI; MER-SYS-SAS,80 percent maintenance load limits net-new delivery,vendor identity and contract values not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Amazon Web Services,,target cloud analytics foundation,Technology Platform,,,2025-02-01,2029-08-19,2029-02-04,commercial terms not loaded,MER-SYS-AWS-FOUNDATION,,Foundation not yet set up for analytics,,,high,,MER-V3-0006,MER-HS,Amazon Web Services,Amazon Web Services,07_vendors_contracts,MER-V3-EVID-0075,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-AWS,target cloud analytics foundation,Technology Platform,MER-SYS-AWS-FOUNDATION,Foundation not yet set up for analytics,commercial terms not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Databricks,,target lakehouse platform,Data Platform,,,2024-10-12,2028-05-09,2029-09-18,commercial terms not loaded,MER-SYS-DATABRICKS,,Target platform not yet implemented with governed medallion architecture,,,high,,MER-V3-0007,MER-HS,Databricks,Databricks,07_vendors_contracts,MER-V3-EVID-0076,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-DATABRICKS,target lakehouse platform,Data Platform,MER-SYS-DATABRICKS,Target platform not yet implemented with governed medallion architecture,commercial terms not loaded,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,,,,,,2023-11-26,2028-08-27,2029-09-03,,,,,,,medium,,MER-SA07-07_VENDORS_CONTRACTS-0001,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",07_vendors_contracts,MER-SA07-INT-EVID-0001,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,,,,,,2023-09-20,2028-03-05,2027-12-20,,,,,,,high,,MER-SA07-07_VENDORS_CONTRACTS-0002,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",07_vendors_contracts,MER-SA07-INT-EVID-0002,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Call center optimization,,,,,,2023-05-12,2028-06-11,2026-03-08,,,,,,,high,,MER-SA07-07_VENDORS_CONTRACTS-0003,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",07_vendors_contracts,MER-SA07-INT-EVID-0003,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,term_start;term_end;renewal_date,synthetic_demo_attribute_generation_2026_08_not_client_evidence
